"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
15867,0,0,0.15,-0.00012396,-5.7149e-05,-2.6664e-06,121.49,1.21,1,5
15437,0,0,0.15,7.3058e-05,-0.00013371,4.4113e-05,116.25,1.21,1,5
14311,0,0,0.15,-6.0527e-05,-8.4868e-05,-1.5406e-05,132.04,1.21,1,9
14925,0,0,0.15,-5.6687e-05,-2.1606e-05,-4.6014e-07,135.63,1.21,1,9
15203,0,0,0.15,2.5406e-05,-6.3246e-06,-5.3904e-05,120.84,1.21,1,9
14633,0,0,0.15,1.669e-05,3.5584e-05,2.6166e-07,133.26,1.21,1,9
14751,0,0,0.15,3.3831e-06,3.2184e-05,2.4689e-05,143.58,1.21,1,9
14662,0,0,0.15,5.5276e-05,-0.00010169,-5.8398e-05,143.99,1.21,1,9
15017,0,0,0.15,1.1186e-05,1.0713e-05,5.6987e-05,135.77,1.21,1,9
15274,0,0,0.15,-3.4346e-05,-6.5541e-05,0.00011417,118.61,1.21,1,9
13860,0,0,0.15,-2.816e-05,-2.8985e-05,5.0954e-05,119.83,1.21,1,5
14733,0,0,0.15,-8.9397e-05,-1.0254e-06,-3.218e-05,136.28,1.21,1,9
14869,0,0,0.15,-1.4557e-05,-4.0691e-05,-0.0001032,144.86,1.21,1,9
14535,0,0,0.15,1.8204e-05,-3.5536e-05,5.0334e-05,144.84,1.21,1,9
14459,0,0,0.15,-6.4293e-05,-2.7542e-05,-4.0204e-05,137.57,1.21,1,9
15443,0,0,0.15,-3.008e-05,7.0564e-05,-9.1683e-05,122.38,1.21,1,9
15054,0,0,0.15,2.4686e-05,-0.00012368,-1.5502e-05,122.44,1.21,1,9
14766,0,0,0.15,0.00011194,-2.9911e-05,-1.0301e-05,136.16,1.21,1,9
14735,0,0,0.15,3.664e-05,-7.7182e-06,4.5065e-05,137.81,1.21,1,9
14786,0,0,0.15,-6.2496e-05,2.6688e-06,-5.7188e-05,129,1.21,1,9
14822,0,0,0.15,-9.3649e-05,4.4085e-05,3.6593e-05,112.43,1.21,1,5
15050,0,0,0.15,-5.3993e-05,-8.2304e-05,-8.7305e-05,118.15,1.21,1,9
15051,0,0,0.15,-0.0001112,-6.6355e-05,-9.4331e-05,121.16,1.21,1,9
14370,0,0,0.15,1.84e-05,-5.7033e-05,-0.00014673,111.9,1.21,1,5
14414,0,0,0.15,9.9607e-05,2.8828e-05,9.7488e-05,117.19,1.21,1,5
15113,0,0,0.15,-0.00017803,-0.00010031,2.1451e-05,120.83,1.21,1,5
14634,0,0,0.15,9.8829e-05,2.0695e-05,-2.7819e-05,122.89,1.21,1,9
14561,0,0,0.15,4.8248e-06,-9.1454e-05,-0.00011617,125.83,1.21,1,9
15886,0,0,0.15,3.0354e-05,6.5278e-05,3.4091e-05,126.45,1.21,1,9
15186,0,0,0.15,-0.00012114,-0.00011665,-9.6832e-05,121.85,1.21,1,9
14750,0,0,0.15,9.4384e-05,2.3025e-07,1.9464e-05,115.31,1.21,1,5
15337,0,0,0.15,0.00010372,-5.8613e-05,0.00012738,118.27,1.21,1,5
15169,0,0,0.15,5.6778e-05,-1.236e-05,-4.1246e-05,124.11,1.21,1,9
15395,0,0,0.15,0.0001149,-5.0856e-05,-6.5488e-05,124.94,1.21,1,9
14740,0,0,0.15,0.00011418,2.6815e-05,-2.5001e-05,134.37,1.21,1,9
14343,0,0,0.15,-0.00011497,4.6421e-06,-8.1727e-06,135.52,1.21,1,9
14847,0,0,0.15,-2.0722e-05,-3.7524e-05,2.939e-05,139.87,1.21,1,9
14370,0,0,0.15,-2.4708e-05,8.3016e-06,2.427e-05,141.95,1.21,1,9
14863,0,0,0.15,-1.547e-05,-3.4544e-05,5.6601e-06,130.85,1.21,1,9
14629,0,0,0.15,5.5506e-05,-1.6843e-05,3.9876e-05,141.19,1.21,1,9
14940,0,0,0.15,-9.0706e-05,-4.2108e-05,-3.0387e-05,138.1,1.21,1,9
15653,0,0,0.15,8.8832e-05,-3.2793e-05,1.5726e-05,111.59,1.21,1,5
14789,0,0,0.15,-9.4765e-05,-3.0645e-05,-3.821e-05,130.38,1.21,1,9
14913,0,0,0.15,0.00015912,-4.7154e-05,5.3385e-05,119.34,1.21,1,9
15244,0,0,0.15,0.00017091,-5.393e-05,-4.8632e-05,112.72,1.21,1,5
14415,0,0,0.15,0.00012407,0.00010298,-6.5004e-05,123.92,1.21,1,9
15999,0,0,0.15,-5.8376e-05,-4.7114e-05,-1.7878e-05,121.14,1.21,1,5
15054,0,0,0.15,6.7407e-05,3.2172e-05,4.633e-05,126.64,1.21,1,9
14628,0,0,0.15,-1.6783e-05,-2.8138e-06,-6.1895e-06,140.33,1.21,1,9
14713,0,0,0.15,-8.9981e-05,3.965e-05,-5.4977e-05,136.88,1.21,1,9
14584,0,0,0.15,7.6786e-05,-6.853e-05,2.7352e-05,142.7,1.21,1,9
15416,0,0,0.15,-3.9247e-05,-7.8169e-06,-2.5094e-05,145.49,1.21,1,9
15239,0,0,0.15,-1.3299e-05,-2.7478e-05,3.3508e-05,145.96,1.21,1,9
13886,0,0,0.15,5.5685e-05,1.6976e-07,2.6777e-05,145.69,1.21,1,9
14707,0,0,0.15,5.8415e-05,8.3438e-06,-7.5816e-06,141.22,1.21,1,9
15046,0,0,0.15,5.9035e-05,-0.00011671,8.0373e-06,145.45,1.21,1,9
14621,0,0,0.15,5.0211e-05,-9.0639e-08,3.9473e-05,142.54,1.21,1,9
14881,0,0,0.15,-5.4065e-05,-6.0927e-05,1.7215e-05,127.6,1.21,1,9
15422,0,0,0.15,5.3428e-05,-8.7587e-06,-2.223e-06,138.56,1.21,1,9
15507,0,0,0.15,5.7883e-06,6.084e-06,-2.1312e-05,131.88,1.21,1,9
14735,0,0,0.15,2.1474e-05,-5.2556e-05,-0.00011019,121.27,1.21,1,9
16199,0,0,0.15,1.5037e-05,-4.7284e-07,5.0077e-05,117.34,1.21,1,5
14794,0,0,0.15,-7.8101e-05,0.00012607,4.934e-05,126.03,1.21,1,9
14694,0,0,0.15,1.8275e-05,0.00011322,-8.0582e-05,123.27,1.21,1,9
14712,0,0,0.15,-2.5808e-05,-7.927e-05,3.7496e-05,142.65,1.21,1,9
14861,0,0,0.15,-2.4335e-05,-2.9911e-05,-1.7917e-05,131.91,1.21,1,9
14524,0,0,0.15,-1.0033e-05,4.9547e-06,1.8511e-05,138.64,1.21,1,9
15127,0,0,0.15,-4.593e-05,2.8418e-05,-4.5933e-05,145.77,1.21,1,9
14666,0,0,0.15,2.6042e-05,6.4183e-05,1.9369e-05,141.61,1.21,1,9
14429,0,0,0.15,-3.093e-05,1.5237e-05,2.7622e-06,142.71,1.21,1,9
14957,0,0,0.15,-5.9202e-05,-7.8692e-05,-2.4954e-05,142.49,1.21,1,9
14706,0,0,0.15,-4.312e-05,-8.2193e-05,1.4888e-05,142.11,1.21,1,9
14866,0,0,0.15,-0.00010327,-4.3312e-05,1.1666e-06,139.77,1.21,1,9
14671,0,0,0.15,-2.0584e-05,0.00012766,2.3034e-05,131.19,1.21,1,9
14838,0,0,0.15,-4.2132e-05,3.3656e-05,-8.8421e-06,134.76,1.21,1,9
14416,0,0,0.15,7.5271e-05,3.5338e-05,3.0984e-06,127.09,1.21,1,9
14143,0,0,0.15,0.00022951,5.2734e-06,7.4503e-05,117.32,1.21,1,5
14688,0,0,0.15,-4.682e-05,7.7324e-05,-8.0272e-05,118.72,1.21,1,9
14362,0,0,0.15,-0.00013903,1.905e-05,-7.5106e-05,116.97,1.21,1,5
14636,0,0,0.15,5.2926e-05,-3.5765e-05,-4.0506e-05,131.4,1.21,1,9
15717,0,0,0.15,-5.1358e-06,5.6924e-05,-9.3765e-05,113.31,1.21,1,5
14911,0,0,0.15,1.6568e-05,-0.00025485,-1.1702e-06,120.15,1.21,1,9
14150,0,0,0.15,6.5457e-05,1.7721e-05,-1.1311e-05,137.78,1.21,1,9
14753,0,0,0.15,-9.611e-06,-3.815e-05,3.6488e-05,128.46,1.21,1,9
15417,0,0,0.15,-2.4431e-05,-5.9686e-05,7.63e-05,132.04,1.21,1,9
15119,0,0,0.15,9.4819e-06,-5.4212e-05,8.0174e-05,135.72,1.21,1,9
14747,0,0,0.15,6.575e-05,6.2005e-06,-4.2596e-05,131.17,1.21,1,9
15219,0,0,0.15,0.00011167,6.7702e-05,7.4083e-06,128.12,1.21,1,9
15383,0,0,0.15,-9.6534e-05,-5.272e-05,3.2244e-05,118.88,1.21,1,9
14842,0,0,0.15,5.0454e-05,-7.9146e-05,-2.3296e-07,118.75,1.21,1,9
14472,0,0,0.15,-0.00014352,7.6287e-05,4.34e-05,110.05,1.21,1,5
14358,0,0,0.15,2.9332e-05,-0.00016388,0.00010967,112.15,1.21,1,5
14823,0,0,0.15,7.3732e-05,8.0952e-05,-4.7298e-06,121.21,1.21,1,9
14120,0,0,0.15,3.962e-05,0.00014264,8.789e-05,113.89,1.21,1,5
14802,0,0,0.15,-6.0369e-05,-3.141e-05,5.3244e-05,118.52,1.21,1,9
14210,0,0,0.15,-2.4474e-05,0.0001106,-1.6322e-05,114.21,1.21,1,5
