"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
4133.5,0,0,0.35,-2.1595e-09,2.7976e-10,-1.0698e-09,1.9308,1.21,1,5
4973.4,0,0,0.35,7.882e-10,5.4109e-10,-1.0294e-09,1.568,1.21,1,5
2939.8,0,0,0.35,1.907e-10,-2.4066e-10,-4.3066e-12,1.6927,1.21,1,9
3268,0,0,0.35,-5.0021e-11,-1.5243e-11,4.3671e-11,1.7847,1.21,1,9
2096.8,0,0,0.35,6.269e-10,-3.6455e-10,5.0943e-10,1.5093,1.21,1,9
1975.3,0,0,0.35,5.7244e-09,-7.165e-09,-1.9632e-10,1.6398,1.21,1,9
4535.3,0,0,0.35,1.0746e-09,-7.5863e-10,8.185e-12,1.9132,1.21,1,9
8324.5,0,0,0.35,-1.2e-10,1.0184e-11,-1.349e-12,2.09,1.21,1,9
4883.1,0,0,0.35,1.9159e-11,1.8731e-10,1.5189e-11,1.8847,1.21,1,9
3693.6,0,0,0.35,4.986e-10,7.7257e-10,8.1264e-11,1.6749,1.21,1,9
6631.8,0,0,0.35,3.1987e-09,5.6703e-09,7.1103e-10,2.1612,1.21,1,5
5025,0,0,0.35,-3.0136e-09,7.4447e-10,-4.0816e-10,1.8539,1.21,1,9
4514.5,0,0,0.35,1.048e-09,3.0593e-10,-1.1857e-10,1.9324,1.21,1,9
6417.8,0,0,0.35,-4.3503e-11,1.3181e-10,7.637e-12,2.0196,1.21,1,9
5393.8,0,0,0.35,-1.824e-10,3.5615e-12,-1.5056e-11,1.9525,1.21,1,9
2182,0,0,0.35,4.7252e-10,-7.3061e-10,2.4642e-10,1.5586,1.21,1,9
1692.3,0,0,0.35,-4.8573e-10,-8.7104e-11,-7.3933e-11,1.4944,1.21,1,9
3378.2,0,0,0.35,-6.4883e-11,-1.4117e-10,-2.1378e-11,1.8019,1.21,1,9
4660.7,0,0,0.35,-6.3598e-12,-3.0662e-11,1.8772e-11,1.8962,1.21,1,9
3792.6,0,0,0.35,4.8288e-11,4.4269e-10,-1.2407e-11,1.7975,1.21,1,9
4189.6,0,0,0.35,1.2533e-09,2.2552e-11,-6.6064e-11,1.5987,1.21,1,5
4953,0,0,0.35,1.13e-09,6.0509e-10,4.1932e-10,1.7617,1.21,1,9
3376.5,0,0,0.35,1.2933e-09,7.6878e-10,-6.2848e-10,1.6288,1.21,1,9
4237,0,0,0.35,-5.6506e-10,-2.1454e-10,-5.3588e-10,1.6113,1.21,1,5
7038.7,0,0,0.35,-8.727e-10,7.0054e-10,5.9676e-10,1.5527,1.21,1,5
3818.7,0,0,0.35,-3.3579e-09,-2.4798e-10,-1.5052e-10,1.9267,1.21,1,5
4572.2,0,0,0.35,-1.7226e-09,-1.7892e-09,-6.1667e-10,1.7201,1.21,1,9
2357.8,0,0,0.35,-1.0673e-09,6.9844e-10,5.1783e-11,1.556,1.21,1,9
2196.8,0,0,0.35,-9.7521e-10,7.9289e-10,1.8575e-11,1.5486,1.21,1,9
3182.6,0,0,0.35,-2.9372e-10,9.5151e-11,2.5295e-11,1.6426,1.21,1,9
