"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
4133.5,0,0,0.35,-7.2894e-10,3.0741e-10,-5.4961e-11,1.9306,1.21,1,5
4973.5,0,0,0.35,-4.1136e-10,9.4396e-10,-8.2927e-10,1.568,1.21,1,5
2939.8,0,0,0.35,-1.9673e-10,-4.0397e-10,6.3811e-11,1.693,1.21,1,9
3268,0,0,0.35,-2.814e-10,-1.4255e-10,7.7413e-12,1.785,1.21,1,9
2096.8,0,0,0.35,-7.6427e-10,2.928e-10,-1.9145e-10,1.5096,1.21,1,9
1975.3,0,0,0.35,9.0718e-10,-1.0391e-08,-3.5847e-10,1.64,1.21,1,9
4535.3,0,0,0.35,1.5254e-09,-1.2966e-09,-3.9081e-11,1.9134,1.21,1,9
8324.5,0,0,0.35,6.0306e-11,7.0856e-11,3.896e-11,2.0902,1.21,1,9
4883.1,0,0,0.35,1.3748e-10,-4.2182e-11,-1.0556e-10,1.885,1.21,1,9
3693.6,0,0,0.35,-8.2681e-10,-3.7576e-10,-3.4976e-10,1.6751,1.21,1,9
6631.9,0,0,0.35,-2.0719e-09,3.1271e-09,1.7917e-09,2.1609,1.21,1,5
5024.9,0,0,0.35,8.0753e-10,5.8461e-09,-6.2838e-10,1.8541,1.21,1,9
4514.5,0,0,0.35,1.8587e-10,1.7673e-09,2.9673e-11,1.9327,1.21,1,9
6417.8,0,0,0.35,-2.3769e-10,-1.094e-10,1.4341e-11,2.0199,1.21,1,9
5393.8,0,0,0.35,6.278e-11,-6.6321e-11,1.8348e-11,1.9527,1.21,1,9
2182,0,0,0.35,-2.2884e-11,-4.4341e-10,-4.077e-10,1.5589,1.21,1,9
1692.3,0,0,0.35,-7.5411e-10,-3.9322e-10,-5.7108e-10,1.4947,1.21,1,9
3378.2,0,0,0.35,-9.8302e-11,-1.0947e-10,-1.9658e-10,1.8022,1.21,1,9
4660.7,0,0,0.35,-7.5919e-11,2.871e-10,7.92e-11,1.8964,1.21,1,9
3792.6,0,0,0.35,1.2369e-10,-6.0235e-10,7.668e-11,1.7978,1.21,1,9
4189.6,0,0,0.35,2.0015e-10,1.5715e-10,-5.645e-10,1.599,1.21,1,5
4953,0,0,0.35,2.3937e-10,-3.4326e-10,-7.5163e-10,1.762,1.21,1,9
3376.5,0,0,0.35,7.8063e-10,1.1995e-09,-8.3278e-11,1.6291,1.21,1,9
4237,0,0,0.35,1.7588e-10,3.5286e-11,-4.4302e-10,1.6116,1.21,1,5
7038.8,0,0,0.35,-4.9057e-10,-3.6228e-10,3.5895e-10,1.5529,1.21,1,5
3818.7,0,0,0.35,-2.1162e-09,2.7455e-10,-6.949e-11,1.9274,1.21,1,5
4572.2,0,0,0.35,-1.1743e-09,-1.9042e-10,-6.1231e-10,1.7203,1.21,1,9
2357.8,0,0,0.35,-2.7331e-10,5.3347e-10,-5.0144e-10,1.5564,1.21,1,9
2196.8,0,0,0.35,7.1921e-10,3.7643e-10,7.834e-11,1.5489,1.21,1,9
3182.6,0,0,0.35,-3.6474e-10,-1.2999e-10,2.1844e-10,1.6429,1.21,1,9
4874.5,0,0,0.35,-1.0725e-09,-6.6018e-10,-5.0314e-10,1.6236,1.21,1,5
5498.5,0,0,0.35,-5.0924e-10,7.3673e-10,7.1529e-10,1.6094,1.21,1,5
2034.5,0,0,0.35,2.2748e-11,1.2894e-10,-1.2091e-10,1.5039,1.21,1,9
2233.9,0,0,0.35,-3.5745e-10,2.7107e-11,-1.6307e-10,1.5075,1.21,1,9
1742.8,0,0,0.35,-2.5494e-10,-3.3312e-10,1.9147e-10,1.6375,1.21,1,9
3918.3,0,0,0.35,-4.2999e-11,-1.2817e-10,4.828e-11,1.8142,1.21,1,9
3738.2,0,0,0.35,1.2099e-10,-1.7392e-10,8.3943e-11,1.8233,1.21,1,9
6001.9,0,0,0.35,-1.1287e-10,2.9253e-10,-2.3722e-12,1.9323,1.21,1,9
2611.2,0,0,0.35,-1.1289e-10,-3.78e-10,6.1865e-11,1.6799,1.21,1,9
6364,0,0,0.35,-9.1683e-11,-1.0449e-10,-2.3701e-12,1.9632,1.21,1,9
3889.9,0,0,0.35,-8.2837e-12,-1.1181e-10,-1.8683e-10,1.8337,1.21,1,9
7596.4,0,0,0.35,-1.6132e-10,1.1055e-09,-2.9533e-10,1.5526,1.21,1,5
2403.6,0,0,0.35,1.1411e-12,4.813e-10,-1.5521e-10,1.7008,1.21,1,9
2967.7,0,0,0.35,-1.0129e-09,7.8867e-10,-1.6611e-10,1.5553,1.21,1,9
6032.5,0,0,0.35,-1.1314e-09,9.8056e-10,-7.1984e-10,1.6414,1.21,1,5
3051.2,0,0,0.35,-1.1178e-09,-2.6962e-09,9.4627e-10,1.6375,1.21,1,9
5550.3,0,0,0.35,-1.5657e-09,4.7057e-09,-1.8734e-10,2.0843,1.21,1,5
3636.9,0,0,0.35,-8.4212e-08,-1.7934e-08,5.5477e-09,1.6006,1.21,1,9
3556.9,0,0,0.35,1.4587e-09,-1.6437e-09,7.9749e-10,1.8122,1.21,1,9
4091.2,0,0,0.35,-1.1516e-07,-2.5601e-08,-5.6113e-10,1.8204,1.21,1,9
