"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
4376.5,0,0,0.8,-3.1639e-09,-4.4098e-09,1.8743e-09,8.6528,1.21,1,5
5111.8,0,0,0.8,3.0789e-10,-6.1207e-10,1.2539e-09,7.5707,1.21,1,5
3167.4,0,0,0.8,-2.7469e-10,1.9738e-10,2.0335e-10,8.2454,1.21,1,9
3499.2,0,0,0.8,-1.3507e-10,1.0756e-10,1.3263e-11,8.5408,1.21,1,9
2315.9,0,0,0.8,-1.1447e-09,-1.7192e-10,-5.4788e-10,7.4655,1.21,1,9
2220.9,0,0,0.8,-2.7456e-09,-1.1989e-10,-1.2002e-10,7.9329,1.21,1,9
4748.3,0,0,0.8,2.1737e-09,-7.2556e-10,2.1641e-11,8.9824,1.21,1,9
8452.6,0,0,0.8,-7.9013e-11,2.416e-10,-9.4035e-12,9.6977,1.21,1,9
5082.5,0,0,0.8,-4.645e-11,-3.425e-11,-1.1617e-10,8.9279,1.21,1,9
3888.2,0,0,0.8,-3.0264e-09,1.5046e-09,1.3611e-10,8.0696,1.21,1,9
6861,0,0,0.8,3.4327e-09,-1.0358e-09,-8.2791e-10,9.5479,1.21,1,5
5216.1,0,0,0.8,2.1503e-09,4.4242e-09,2.6229e-10,8.8403,1.21,1,9
4731.8,0,0,0.8,-5.9185e-10,-1.6278e-09,-1.3267e-10,9.0273,1.21,1,9
6600.2,0,0,0.8,-1.5985e-10,2.0569e-11,-9.5481e-12,9.3776,1.21,1,9
5588.7,0,0,0.8,7.5568e-12,3.6698e-11,-2.1058e-11,9.1183,1.21,1,9
2419.9,0,0,0.8,2.5677e-09,-1.8902e-09,5.3795e-10,7.6894,1.21,1,9
1918.5,0,0,0.8,6.1715e-10,-1.1876e-10,-3.4596e-10,7.4169,1.21,1,9
3606.4,0,0,0.8,1.2892e-09,1.1058e-09,-2.6447e-10,8.5422,1.21,1,9
4868.8,0,0,0.8,-2.8213e-11,-6.457e-11,2.7214e-11,8.9788,1.21,1,9
4003.2,0,0,0.8,1.1441e-10,-4.5677e-10,-1.3133e-10,8.5424,1.21,1,9
4348,0,0,0.8,7.6961e-10,1.1657e-09,1.0908e-09,7.6853,1.21,1,5
5130.8,0,0,0.8,4.6531e-10,-1.0664e-09,-9.0137e-10,8.4133,1.21,1,9
3605.8,0,0,0.8,-2.2096e-10,-2.7553e-09,-1.1629e-09,7.835,1.21,1,9
4399.2,0,0,0.8,3.1273e-10,1.8643e-09,-1.0334e-09,7.7505,1.21,1,5
7145.7,0,0,0.8,-1.3449e-09,-7.9471e-10,-6.4987e-10,7.6427,1.21,1,5
4068.9,0,0,0.8,2.8926e-09,-6.1673e-09,3.2386e-11,8.7745,1.21,1,5
4750.3,0,0,0.8,-3.0327e-09,-6.2784e-10,1.7221e-10,8.2658,1.21,1,9
2595,0,0,0.8,1.2349e-09,-6.4956e-10,-8.9906e-10,7.7721,1.21,1,9
2426.6,0,0,0.8,-7.8871e-10,-6.9788e-10,9.2679e-10,7.6549,1.21,1,9
3383,0,0,0.8,-3.654e-10,7.7968e-10,2.2555e-10,7.9501,1.21,1,9
5026.4,0,0,0.8,-8.9833e-10,1.7194e-09,1.1367e-10,7.7727,1.21,1,5
5633.8,0,0,0.8,2.8947e-09,4.3372e-09,-8.2837e-10,7.749,1.21,1,5
2254,0,0,0.8,-3.099e-10,-6.6558e-10,8.5371e-10,7.4301,1.21,1,9
2445.8,0,0,0.8,1.9288e-09,3.3754e-10,-3.5872e-10,7.4907,1.21,1,9
1997.4,0,0,0.8,4.1498e-10,4.9424e-10,-5.1054e-11,7.8932,1.21,1,9
4134,0,0,0.8,-3.8388e-11,1.1987e-10,1.7276e-10,8.6241,1.21,1,9
3962.3,0,0,0.8,-6.5187e-11,-1.1761e-09,-4.0684e-11,8.6823,1.21,1,9
6183.4,0,0,0.8,-1.4485e-10,-9.9208e-11,2.9156e-12,9.154,1.21,1,9
2843.4,0,0,0.8,3.3626e-10,4.9808e-10,-9.3709e-11,8.1117,1.21,1,9
6530.5,0,0,0.8,-3.2622e-10,-2.0688e-10,2.2171e-11,9.2434,1.21,1,9
4111.5,0,0,0.8,3.847e-11,3.2688e-11,-1.3886e-10,8.7155,1.21,1,9
7641.3,0,0,0.8,1.0908e-09,-6.7154e-10,-6.9529e-10,7.5967,1.21,1,5
2645.9,0,0,0.8,9.2915e-10,-1.4565e-09,2.3372e-10,8.1665,1.21,1,9
3165.2,0,0,0.8,1.0998e-09,1.2684e-10,5.6037e-10,7.636,1.21,1,9
6164.6,0,0,0.8,2.8754e-10,2.152e-09,6.0792e-10,7.8947,1.21,1,5
3254.6,0,0,0.8,-4.1387e-09,3.6731e-09,8.6559e-10,7.9382,1.21,1,9
5798.2,0,0,0.8,-1.4127e-08,4.8214e-09,1.2732e-09,9.5115,1.21,1,5
3847.9,0,0,0.8,1.3754e-07,-3.6042e-07,2.8977e-09,7.9397,1.21,1,9
3785.8,0,0,0.8,-4.8033e-11,1.7227e-09,-5.2453e-10,8.6402,1.21,1,9
4303.9,0,0,0.8,1.5827e-07,-3.7328e-07,-1.3068e-09,8.7055,1.21,1,9
8040.3,0,0,0.8,3.848e-09,1.0131e-10,3.5351e-10,9.4308,1.21,1,9
7184,0,0,0.8,2.9286e-10,-1.7083e-10,-1.384e-10,9.4389,1.21,1,9
6825.1,0,0,0.8,3.7868e-09,-2.3669e-09,3.3718e-11,9.366,1.21,1,9
8148.1,0,0,0.8,8.9051e-10,1.3035e-09,-1.1176e-10,9.5982,1.21,1,9
4412.2,0,0,0.8,1.0261e-10,-8.5772e-11,1.5323e-11,8.8951,1.21,1,9
7335.5,0,0,0.8,-5.5166e-10,1.5367e-10,4.0415e-11,9.5454,1.21,1,9
5129.4,0,0,0.8,-5.5519e-11,1.6088e-10,-5.7318e-12,9.0745,1.21,1,9
2966.3,0,0,0.8,5.0593e-10,6.1441e-11,8.6039e-10,8.149,1.21,1,9
7309,0,0,0.8,-1.8591e-10,3.9566e-10,-6.5791e-11,9.3774,1.21,1,9
3659.9,0,0,0.8,1.2994e-10,1.6007e-10,-9.9064e-11,8.5525,1.21,1,9
2921.9,0,0,0.8,3.3781e-10,1.9362e-11,-9.8762e-11,7.6631,1.21,1,9
6080.6,0,0,0.8,-9.4613e-10,-5.4116e-09,4.3683e-09,8.9538,1.21,1,5
4993.1,0,0,0.8,6.2892e-09,-3.0078e-09,1.9597e-09,8.0382,1.21,1,9
4363.1,0,0,0.8,6.0006e-09,-1.4752e-09,4.2352e-10,8.2078,1.21,1,9
7127.5,0,0,0.8,-1.0279e-09,3.474e-09,3.1735e-10,9.2967,1.21,1,9
2803.9,0,0,0.8,-9.392e-10,-6.2505e-10,9.4489e-11,8.1065,1.21,1,9
3064.5,0,0,0.8,-1.5032e-09,7.602e-10,-1.0412e-10,8.3967,1.21,1,9
5323.6,0,0,0.8,9.5544e-11,7.5293e-10,4.4094e-11,9.181,1.21,1,9
3222,0,0,0.8,3.9318e-11,2.1256e-10,-1.7537e-11,8.5784,1.21,1,9
5746.9,0,0,0.8,-3.5164e-10,-4.327e-10,-2.2669e-12,9.1694,1.21,1,9
5306.9,0,0,0.8,9.8918e-12,1.4102e-10,3.2741e-11,9.1225,1.21,1,9
6484.1,0,0,0.8,-2.4835e-10,-1.8756e-11,5.6322e-12,9.3035,1.21,1,9
6010.7,0,0,0.8,1.2328e-10,1.3833e-10,8.9476e-11,9.1888,1.21,1,9
3633.1,0,0,0.8,8.1507e-11,-1.5525e-10,9.5801e-11,8.5479,1.21,1,9
5349,0,0,0.8,-1.3051e-10,3.0512e-11,4.9478e-10,8.9657,1.21,1,9
3282.9,0,0,0.8,-5.9205e-10,1.6344e-10,3.0699e-10,8.2857,1.21,1,9
4347,0,0,0.8,2.4193e-09,3.6787e-10,-3.6355e-11,8.8793,1.21,1,5
2600.8,0,0,0.8,-1.1724e-10,-6.2707e-10,-2.3226e-10,7.7825,1.21,1,9
5243.1,0,0,0.8,2.8168e-09,1.0168e-09,-5.0684e-10,7.8008,1.21,1,5
2297.9,0,0,0.8,4.7083e-10,-2.1922e-10,-1.1613e-10,8.0174,1.21,1,9
3201.6,0,0,0.8,-6.1791e-10,5.638e-11,4.1778e-12,7.4809,1.21,1,5
2412.2,0,0,0.8,2.393e-10,-3.3542e-10,5.3274e-10,7.5891,1.21,1,9
4223.8,0,0,0.8,8.0269e-10,6.5373e-10,-4.8275e-11,8.8199,1.21,1,9
4744.3,0,0,0.8,1.4974e-09,6.0673e-10,-7.9124e-11,8.5421,1.21,1,9
2764.6,0,0,0.8,1.6071e-10,-6.6323e-10,2.5593e-10,8.236,1.21,1,9
5235.5,0,0,0.8,-3.0174e-11,-2.1004e-10,6.5018e-11,8.9736,1.21,1,9
2778.7,0,0,0.8,1.1798e-09,-1.5828e-09,1.6033e-10,8.2781,1.21,1,9
2749.2,0,0,0.8,1.7498e-10,1.2939e-11,2.6422e-11,8.0931,1.21,1,9
2430.3,0,0,0.8,-4.3474e-10,-3.3323e-10,1.1975e-09,7.5419,1.21,1,9
2551.7,0,0,0.8,1.2088e-09,4.621e-10,1.4719e-10,7.5604,1.21,1,9
5806.9,0,0,0.8,3.2922e-10,1.5671e-09,1.4712e-10,7.4149,1.21,1,5
7100.5,0,0,0.8,1.7142e-09,1.3036e-09,2.6633e-09,7.6669,1.21,1,5
4252,0,0,0.8,3.5165e-10,-3.0513e-09,-3.5156e-10,7.8417,1.21,1,9
8008,0,0,0.8,-4.7654e-09,-4.2025e-09,-5.8736e-09,9.5208,1.21,1,5
3148.3,0,0,0.8,-2.526e-10,8.1618e-10,-4.0949e-10,7.944,1.21,1,9
7062.1,0,0,0.8,1.2122e-09,7.2578e-10,-5.5026e-09,9.7831,1.21,1,5
