"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
14608,0,0,0.25,-2.5578e-06,2.5451e-06,8.613e-06,178.07,1.21,1,5
14666,0,0,0.25,2.2275e-06,-6.1502e-07,-6.0522e-06,178.14,1.21,1,5
13088,0,0,0.25,-9.6822e-07,3.2665e-06,-1.1975e-06,191.12,1.21,1,9
13089,0,0,0.25,-2.0018e-08,6.2032e-08,-1.0973e-06,192.01,1.21,1,9
14178,0,0,0.25,-1.74e-06,1.628e-07,-2.2749e-06,182.65,1.21,1,9
13276,0,0,0.25,-4.7662e-06,-4.0182e-07,7.6334e-06,192.26,1.21,1,9
13320,0,0,0.25,-6.5086e-08,8.1372e-07,-6.9837e-09,190.3,1.21,1,9
13027,0,0,0.25,1.5621e-07,-5.9293e-07,5.4534e-08,191.98,1.21,1,9
13431,0,0,0.25,5.1742e-07,1.07e-06,-2.7866e-07,195.27,1.21,1,9
14003,0,0,0.25,1.3787e-06,4.5474e-06,2.6615e-06,181.88,1.21,1,9
12784,0,0,0.25,2.9319e-06,1.7877e-05,1.1543e-05,177.03,1.21,1,5
13432,0,0,0.25,3.132e-07,3.9652e-07,-4.414e-07,192.76,1.21,1,9
13317,0,0,0.25,-6.412e-07,-7.783e-07,1.304e-07,189.68,1.21,1,9
13359,0,0,0.25,2.0927e-09,-2.6127e-07,-4.7128e-08,203.12,1.21,1,9
12992,0,0,0.25,-4.5288e-07,-2.0943e-06,-1.4192e-07,202.15,1.21,1,9
13930,0,0,0.25,2.0706e-06,-4.3722e-06,2.2945e-07,187.91,1.21,1,9
13467,0,0,0.25,-7.1362e-07,-2.0332e-06,9.5128e-07,184.47,1.21,1,9
13445,0,0,0.25,-4.5898e-07,3.5116e-07,4.8362e-07,196.52,1.21,1,9
13332,0,0,0.25,4.2376e-07,2.4169e-07,-2.2477e-07,203.03,1.21,1,9
13485,0,0,0.25,1.2079e-06,7.1064e-06,-6.7044e-07,197.7,1.21,1,9
14119,0,0,0.25,-2.4723e-05,9.36e-06,1.0214e-05,177.84,1.21,1,5
13912,0,0,0.25,-6.3922e-07,1.9929e-07,-1.1892e-06,182.09,1.21,1,9
13482,0,0,0.25,-4.3644e-06,5.3658e-06,-3.6853e-06,187.85,1.21,1,9
13716,0,0,0.25,9.15e-06,-1.9377e-05,1.8344e-05,177.53,1.21,1,5
