"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
4290.2,0,0,0.65,2.1182e-09,-8.6003e-10,-4.742e-10,5.9237,1.21,1,5
5063.2,0,0,0.65,-3.6634e-10,-1.8725e-09,8.9078e-10,5.1148,1.21,1,5
3084.4,0,0,0.65,1.421e-10,5.2142e-10,-8.7746e-11,5.5586,1.21,1,9
3414.1,0,0,0.65,3.1748e-10,3.951e-10,3.1348e-11,5.7713,1.21,1,9
2237.5,0,0,0.65,4.8603e-10,-9.2562e-10,6.1968e-10,5.0018,1.21,1,9
2133.3,0,0,0.65,3.9611e-09,-5.3364e-09,9.9133e-10,5.3363,1.21,1,9
4668.3,0,0,0.65,4.2447e-10,-1.0248e-09,-6.4399e-11,6.1006,1.21,1,9
8397.8,0,0,0.65,1.9535e-10,-2.0661e-10,1.3755e-11,6.6033,1.21,1,9
5006.1,0,0,0.65,-1.1122e-10,-1.639e-10,7.4782e-11,6.0516,1.21,1,9
3816.4,0,0,0.65,6.4173e-10,-2.8209e-12,-1.7071e-10,5.438,1.21,1,9
6777.8,0,0,0.65,-4.3822e-09,2.4911e-09,-2.5171e-09,6.5562,1.21,1,5
5143.6,0,0,0.65,-7.554e-09,1.0162e-08,-1.0443e-09,5.9731,1.21,1,9
4650.4,0,0,0.65,2.0532e-10,1.8521e-09,-2.2554e-10,6.1329,1.21,1,9
6530.2,0,0,0.65,4.9449e-11,1.1691e-10,1.4825e-11,6.3828,1.21,1,9
5515,0,0,0.65,-2.1392e-11,-4.5894e-10,8.0111e-12,6.1922,1.21,1,9
2336,0,0,0.65,4.9513e-10,2.8952e-10,2.893e-10,5.1445,1.21,1,9
1839.2,0,0,0.65,-8.4839e-11,-3.7096e-11,-2.2136e-10,4.9614,1.21,1,9
3522.1,0,0,0.65,-2.3489e-10,4.5703e-10,3.972e-10,5.7862,1.21,1,9
4790.5,0,0,0.65,2.1946e-10,2.5812e-11,-1.1883e-10,6.0942,1.21,1,9
3925.4,0,0,0.65,-1.4294e-10,8.3086e-10,4.4739e-10,5.7779,1.21,1,9
4289.3,0,0,0.65,1.2422e-10,-2.4517e-10,1.219e-09,5.2002,1.21,1,5
5063.9,0,0,0.65,2.078e-10,-1.5986e-09,-9.4333e-10,5.6777,1.21,1,9
3523.5,0,0,0.65,1.7203e-09,2.0796e-09,-3.796e-11,5.2522,1.21,1,9
4338.5,0,0,0.65,-5.7477e-10,9.6941e-10,-2.0466e-10,5.2399,1.21,1,5
7104.1,0,0,0.65,1.0545e-09,7.9514e-11,-6.747e-10,5.1307,1.21,1,5
3980.6,0,0,0.65,2.3952e-09,1.8208e-09,1.1358e-09,6.0086,1.21,1,5
4683.6,0,0,0.65,1.0943e-09,-3.8899e-10,3.102e-11,5.5753,1.21,1,9
