"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
14609,0,0,0.3,6.157e-06,1.746e-06,2.2432e-06,176.74,1.21,1,5
14981,0,0,0.3,1.6121e-05,2.7712e-07,5.1e-06,184.35,1.21,1,5
12988,0,0,0.3,-1.8795e-06,-5.5916e-07,1.5962e-06,188.87,1.21,1,9
12998,0,0,0.3,1.0648e-05,1.1896e-05,-3.3193e-07,188.32,1.21,1,9
13876,0,0,0.3,-7.0344e-06,8.5684e-06,-2.0491e-06,190.24,1.21,1,9
13070,0,0,0.3,1.513e-06,3.7202e-06,2.1456e-06,187.59,1.21,1,9
13138,0,0,0.3,3.4448e-06,8.0277e-06,4.9262e-06,181.54,1.21,1,9
12931,0,0,0.3,2.7346e-05,1.1901e-05,1.2541e-06,183.89,1.21,1,9
13353,0,0,0.3,-3.75e-06,-8.4782e-06,5.8442e-07,183.07,1.21,1,9
13798,0,0,0.3,-4.7847e-06,-5.7784e-06,-3.0332e-06,183.59,1.21,1,9
13137,0,0,0.3,4.4705e-06,3.2769e-06,1.5436e-05,176.34,1.21,1,5
13390,0,0,0.3,1.5138e-06,5.226e-06,5.9595e-06,184.76,1.21,1,9
12961,0,0,0.3,5.5885e-06,-5.6321e-06,-4.0108e-06,182.38,1.21,1,9
13449,0,0,0.3,6.3103e-06,1.7372e-06,1.3838e-06,185.99,1.21,1,9
13312,0,0,0.3,2.9484e-06,3.4806e-06,8.6182e-07,181.82,1.21,1,9
13800,0,0,0.3,-1.3465e-08,-2.9024e-06,2.783e-06,185.27,1.21,1,9
13435,0,0,0.3,8.6456e-06,-8.7672e-06,5.4756e-06,188.96,1.21,1,9
13338,0,0,0.3,-5.4987e-06,-1.8296e-06,1.0282e-05,182.62,1.21,1,9
13326,0,0,0.3,-1.5754e-06,5.4892e-06,-5.3929e-06,183.91,1.21,1,9
13342,0,0,0.3,1.8472e-07,4.1557e-06,-2.7316e-08,190.95,1.21,1,9
14394,0,0,0.3,2.0569e-05,5.8454e-06,-1.9629e-06,182.45,1.21,1,5
13817,0,0,0.3,7.7159e-07,4.9922e-06,3.1303e-07,184.26,1.21,1,9
13219,0,0,0.3,3.1046e-06,5.9385e-06,-3.3512e-06,185.3,1.21,1,9
13913,0,0,0.3,-3.6805e-06,-1.4194e-06,1.8743e-06,182.72,1.21,1,5
13901,0,0,0.3,-4.863e-06,6.7316e-06,-1.6963e-06,183.95,1.21,1,5
14285,0,0,0.3,-3.5356e-06,-1.7102e-05,-9.0549e-07,176.28,1.21,1,5
13472,0,0,0.3,-1.3996e-06,3.8739e-06,-5.3617e-07,184.83,1.21,1,9
13317,0,0,0.3,4.4305e-07,2.2383e-06,-9.9269e-07,188.42,1.21,1,9
14347,0,0,0.3,-2.839e-06,6.951e-06,8.7103e-06,188.81,1.21,1,9
13817,0,0,0.3,-2.0116e-05,1.0942e-05,8.016e-06,184.8,1.21,1,9
14373,0,0,0.3,-5.7292e-06,-3.1909e-07,6.2516e-07,184.71,1.21,1,5
14873,0,0,0.3,1.5778e-06,2.0548e-06,2.2608e-06,184.72,1.21,1,5
13654,0,0,0.3,-3.7434e-06,2.2156e-06,1.4643e-06,189.09,1.21,1,9
13914,0,0,0.3,-2.4219e-06,3.9254e-06,3.7655e-06,189.11,1.21,1,9
13077,0,0,0.3,-2.8522e-06,1.0312e-06,3.8964e-07,183.46,1.21,1,9
13876,0,0,0.3,-9.0611e-06,1.2857e-05,2.7867e-05,186.35,1.21,1,9
13832,0,0,0.3,-4.6345e-06,-4.5479e-06,6.8785e-06,183.07,1.21,1,9
13824,0,0,0.3,-1.5789e-05,-2.6347e-05,3.9954e-05,171.68,1.21,1,9
13258,0,0,0.3,4.7663e-06,5.7067e-06,9.3335e-07,190.57,1.21,1,9
14620,0,0,0.3,7.8084e-06,5.1055e-06,-1.2821e-06,178.33,1.21,1,9
15518,0,0,0.3,4.8015e-06,1.9749e-06,-8.1286e-06,173.04,1.21,1,9
15204,0,0,0.3,-9.6098e-06,2.0259e-07,-7.5404e-06,181.1,1.21,1,5
13120,0,0,0.3,-2.6003e-06,3.5323e-06,-1.0273e-05,189.1,1.21,1,9
13392,0,0,0.3,-3.8863e-06,2.7173e-06,8.2047e-07,186.84,1.21,1,9
14762,0,0,0.3,-5.5731e-06,3.1815e-06,-3.9087e-06,182.1,1.21,1,5
13186,0,0,0.3,-3.271e-06,-5.3397e-06,2.3254e-06,184.54,1.21,1,9
14536,0,0,0.3,7.1867e-06,-2.763e-05,2.5877e-05,175.9,1.21,1,5
13843,0,0,0.3,-2.4503e-06,-3.9838e-06,1.009e-05,188.39,1.21,1,9
13467,0,0,0.3,-4.7455e-06,-1.1654e-06,-1.4708e-06,183.57,1.21,1,9
13190,0,0,0.3,-6.2658e-06,6.4974e-06,-7.3313e-06,186.7,1.21,1,9
15002,0,0,0.3,-2.3764e-06,1.608e-06,-6.252e-06,174.66,1.21,1,9
14352,0,0,0.3,1.569e-05,-1.0207e-05,-1.6468e-06,185.69,1.21,1,9
13875,0,0,0.3,-1.45e-05,-4.7662e-06,-1.6781e-05,185.32,1.21,1,9
13800,0,0,0.3,1.3188e-05,-1.0221e-05,-2.7928e-05,162.87,1.21,1,9
13604,0,0,0.3,4.0188e-06,1.0395e-05,-9.2063e-06,183.71,1.21,1,9
15380,0,0,0.3,2.5513e-06,4.3953e-06,7.5811e-06,172.59,1.21,1,9
14560,0,0,0.3,3.9724e-06,-9.4362e-06,2.3909e-05,164.4,1.21,1,9
13192,0,0,0.3,-8.6186e-06,-1.8397e-06,6.2438e-07,186.93,1.21,1,9
13585,0,0,0.3,1.9898e-06,-1.4464e-05,1.2094e-05,182.57,1.21,1,9
13272,0,0,0.3,-2.014e-06,-4.8597e-07,1.2113e-06,183.36,1.21,1,9
13648,0,0,0.3,7.4383e-06,1.6589e-05,-1.1025e-05,185.92,1.21,1,9
14322,0,0,0.3,-1.3615e-06,-1.7141e-05,-2.7453e-05,178.5,1.21,1,5
13634,0,0,0.3,-2.076e-06,4.0627e-06,-1.1254e-06,188.15,1.21,1,9
13456,0,0,0.3,8.3175e-06,6.17e-06,-1.2397e-06,185.51,1.21,1,9
14186,0,0,0.3,-1.3918e-06,3.7245e-06,-1.7503e-06,187.11,1.21,1,9
13450,0,0,0.3,1.8094e-05,-9.7906e-07,1.3166e-05,188.88,1.21,1,9
14505,0,0,0.3,-1.3942e-08,-1.4036e-05,1.272e-05,172.79,1.21,1,9
14755,0,0,0.3,1.9361e-05,-4.402e-06,-8.0352e-06,172.36,1.21,1,9
13943,0,0,0.3,-2.0013e-05,-1.8194e-06,1.3138e-05,181.65,1.21,1,9
13959,0,0,0.3,-1.1016e-06,-2.4864e-06,1.0977e-06,169.08,1.21,1,9
15380,0,0,0.3,3.5699e-06,6.8233e-06,3.5742e-06,170.76,1.21,1,9
14885,0,0,0.3,-6.8102e-08,2.6502e-06,4.5502e-06,171.11,1.21,1,9
14938,0,0,0.3,-1.403e-06,1.074e-05,-5.9155e-06,164.81,1.21,1,9
13289,0,0,0.3,5.147e-06,1.2914e-06,2.9087e-06,182.61,1.21,1,9
13120,0,0,0.3,-1.398e-06,1.0713e-05,8.744e-07,184.65,1.21,1,9
12735,0,0,0.3,4.8798e-06,1.4408e-06,1.7616e-06,186.47,1.21,1,9
12810,0,0,0.3,-2.765e-06,-9.7727e-06,6.3158e-06,177.8,1.21,1,5
13361,0,0,0.3,1.7736e-06,-2.1242e-06,-3.6674e-07,183.21,1.21,1,9
14175,0,0,0.3,4.1825e-06,-2.518e-06,-1.1997e-06,184.11,1.21,1,5
13269,0,0,0.3,-8.7957e-07,1.4829e-05,3.4169e-06,187.71,1.21,1,9
14566,0,0,0.3,5.6147e-07,-6.0913e-06,6.543e-07,182.46,1.21,1,5
13386,0,0,0.3,-1.0287e-06,-4.3852e-06,2.1657e-07,188.45,1.21,1,9
13658,0,0,0.3,-5.4573e-07,-6.0703e-06,-2.5551e-07,172.69,1.21,1,9
13298,0,0,0.3,2.9227e-06,5.8823e-06,-1.8203e-07,188.22,1.21,1,9
13588,0,0,0.3,3.9106e-06,5.7997e-06,-4.5423e-06,186.68,1.21,1,9
13433,0,0,0.3,-1.0804e-05,2.5565e-05,-5.1803e-06,184.37,1.21,1,9
13055,0,0,0.3,-1.653e-07,2.9686e-06,-8.6185e-07,185.64,1.21,1,9
13426,0,0,0.3,1.6748e-06,7.9801e-06,-1.4137e-06,187.38,1.21,1,9
14030,0,0,0.3,4.3964e-06,-6.2759e-06,5.7769e-06,188.72,1.21,1,9
13651,0,0,0.3,-2.2041e-06,-1.1232e-07,-5.7108e-07,188.62,1.21,1,9
13883,0,0,0.3,1.0171e-06,-4.8735e-06,1.9193e-06,180.14,1.21,1,5
14165,0,0,0.3,4.8802e-07,8.0632e-07,1.295e-07,182.3,1.21,1,5
13826,0,0,0.3,-1.2611e-06,7.4762e-06,-9.1763e-06,185.95,1.21,1,9
13228,0,0,0.3,-3.4088e-06,1.3554e-05,-3.9166e-06,177.55,1.21,1,5
13372,0,0,0.3,-7.4165e-06,-2.6792e-05,1.83e-05,183.87,1.21,1,9
12028,0,0,0.3,4.533e-06,-2.3989e-07,4.4516e-06,176.69,1.21,1,5
