"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
15825,0,0,0.05,0.00019916,-3.0293e-05,8.6533e-05,39.343,1.21,1,5
15625,0,0,0.05,-0.00028261,0.00030945,-0.00013379,37.537,1.21,1,5
14105,0,0,0.05,0.00012885,-2.9036e-05,-7.4883e-05,42.66,1.21,1,9
14473,0,0,0.05,1.7394e-05,-0.00023021,0.00012166,43.84,1.21,1,9
14851,0,0,0.05,-0.00028024,-0.00025444,2.6569e-05,39.056,1.21,1,9
14457,0,0,0.05,8.6669e-05,-3.8677e-05,3.9257e-05,43.168,1.21,1,9
14668,0,0,0.05,1.8324e-05,5.2957e-05,-1.7635e-05,46.49,1.21,1,9
14459,0,0,0.05,0.00034705,0.00047313,-0.00013048,46.687,1.21,1,9
14701,0,0,0.05,0.00020411,0.00021533,-9.9488e-05,43.873,1.21,1,9
15152,0,0,0.05,-6.7865e-05,6.2067e-05,-0.00010151,38.215,1.21,1,9
13920,0,0,0.05,-6.1283e-05,-0.00034607,8.9759e-05,38.594,1.21,1,5
14441,0,0,0.05,-7.9366e-05,8.8394e-05,-8.9221e-05,43.987,1.21,1,9
14618,0,0,0.05,0.00034584,0.00016408,0.000102,46.865,1.21,1,9
14307,0,0,0.05,-7.2775e-05,0.00049873,9.1852e-05,46.932,1.21,1,9
14251,0,0,0.05,0.0002174,0.00018594,0.00022898,44.567,1.21,1,9
14958,0,0,0.05,0.0002382,6.9292e-05,0.00029192,39.484,1.21,1,9
14777,0,0,0.05,-0.00021619,0.00013278,-1.366e-06,39.484,1.21,1,9
14614,0,0,0.05,0.00020881,5.8833e-05,7.5099e-05,44.028,1.21,1,9
14519,0,0,0.05,0.00021687,0.00045315,8.0414e-05,44.575,1.21,1,9
14519,0,0,0.05,0.00012092,0.00033403,0.00014465,41.688,1.21,1,9
14618,0,0,0.05,1.9101e-05,0.00016157,-0.00014485,36.231,1.21,1,5
14488,0,0,0.05,2.6012e-05,-5.0656e-07,0.00015239,38.065,1.21,1,9
14861,0,0,0.05,0.0001208,1.2286e-05,7.6708e-05,39.082,1.21,1,9
13968,0,0,0.05,-9.4812e-05,3.6645e-05,5.1478e-05,36.1,1.21,1,5
14306,0,0,0.05,0.00029871,-0.00039258,4.7689e-05,37.872,1.21,1,5
15226,0,0,0.05,0.00046085,-0.00027176,-8.1532e-05,39.025,1.21,1,5
14493,0,0,0.05,-0.00012015,8.1272e-06,-2.928e-05,39.703,1.21,1,9
14326,0,0,0.05,2.3999e-06,-8.6707e-05,8.0155e-05,40.623,1.21,1,9
15660,0,0,0.05,0.00017356,0.00017968,3.8464e-05,40.931,1.21,1,9
15061,0,0,0.05,-3.0879e-05,0.00027063,1.6096e-05,39.455,1.21,1,9
14573,0,0,0.05,-0.00034675,-4.2039e-05,0.00019508,37.321,1.21,1,5
