"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
4156.6,0,0,0.4,1.8178e-10,9.5608e-10,1.5731e-09,2.4302,1.21,1,5
4984.5,0,0,0.4,3.7893e-10,6.8904e-11,-2.5192e-10,2.0462,1.21,1,5
2961.5,0,0,0.4,5.1675e-10,-5.3682e-11,-5.7894e-11,2.1979,1.21,1,9
3289.4,0,0,0.4,2.9337e-11,-1.2046e-10,-4.4529e-11,2.2977,1.21,1,9
2118.3,0,0,0.4,5.3346e-10,-6.4717e-10,6.1898e-10,1.9545,1.21,1,9
1999.3,0,0,0.4,-4.8462e-09,1.178e-08,-2.7017e-09,2.111,1.21,1,9
4554.5,0,0,0.4,2.2175e-09,-1.3507e-09,-9.346e-13,2.4594,1.21,1,9
8331.7,0,0,0.4,3.4686e-10,1.1149e-10,9.8172e-11,2.682,1.21,1,9
4900.8,0,0,0.4,-1.3305e-10,1.3951e-10,-4.4483e-11,2.4366,1.21,1,9
3711.4,0,0,0.4,-1.4159e-10,1.2983e-10,7.487e-10,2.1588,1.21,1,9
6656.4,0,0,0.4,-1.8941e-09,-3.962e-10,-1.7354e-09,2.7237,1.21,1,5
5041.6,0,0,0.4,1.9018e-09,1.6111e-08,1.4222e-11,2.3828,1.21,1,9
4534.1,0,0,0.4,1.2304e-09,2.0424e-09,3.6462e-11,2.4781,1.21,1,9
6433.5,0,0,0.4,-3.609e-10,-2.2831e-10,9.5332e-12,2.5899,1.21,1,9
5411.5,0,0,0.4,5.4964e-11,-2.4992e-10,-1.0828e-12,2.5026,1.21,1,9
2207.9,0,0,0.4,-8.8191e-10,-1.9522e-11,-1.8283e-10,2.0116,1.21,1,9
1715.2,0,0,0.4,-1.399e-10,3.247e-10,-1.8213e-13,1.9334,1.21,1,9
3399.4,0,0,0.4,-1.2175e-10,4.8176e-11,1.4842e-10,2.3174,1.21,1,9
4679.7,0,0,0.4,-6.5324e-11,8.4799e-11,3.667e-11,2.4411,1.21,1,9
3813.6,0,0,0.4,1.0198e-10,-5.1169e-10,-4.7308e-10,2.3099,1.21,1,9
4203.5,0,0,0.4,6.872e-10,6.0943e-10,5.2708e-10,2.0656,1.21,1,5
4968.2,0,0,0.4,3.155e-10,-6.3126e-10,-3.1508e-10,2.2656,1.21,1,9
3395.9,0,0,0.4,8.8496e-10,-7.0738e-10,-9.2019e-11,2.1005,1.21,1,9
4251.6,0,0,0.4,3.3441e-10,-5.3744e-10,3.8317e-10,2.0755,1.21,1,5
7049.6,0,0,0.4,-1.0863e-09,-1.1453e-09,-4.9176e-10,2.0011,1.21,1,5
3843.3,0,0,0.4,3.6256e-09,1.0628e-10,5.6267e-10,2.4853,1.21,1,5
4588.7,0,0,0.4,-1.6915e-10,1.8445e-11,-6.982e-10,2.2136,1.21,1,9
2381.8,0,0,0.4,2.7849e-11,1.0497e-10,3.5973e-10,2.0189,1.21,1,9
2218.5,0,0,0.4,-3.2652e-10,2.6795e-10,4.2104e-10,2,1.21,1,9
3201,0,0,0.4,-2.9163e-10,-5.2107e-10,-3.8359e-10,2.1165,1.21,1,9
4888.1,0,0,0.4,-1.4389e-09,-2.3339e-09,-8.8113e-10,2.0968,1.21,1,5
5510.9,0,0,0.4,-1.8814e-09,-1.3181e-10,-1.2098e-09,2.0761,1.21,1,5
2056.2,0,0,0.4,4.9642e-10,-1.266e-10,-1.9857e-11,1.9417,1.21,1,9
2255.3,0,0,0.4,-4.6144e-10,1.3002e-10,-5.5782e-12,1.9497,1.21,1,9
1769.1,0,0,0.4,-2.3681e-11,-3.1145e-10,2.2368e-10,2.104,1.21,1,9
3938,0,0,0.4,-3.479e-10,1.1481e-10,2.267e-11,2.3352,1.21,1,9
3758.9,0,0,0.4,3.5254e-10,-3.9109e-10,-6.0829e-11,2.3452,1.21,1,9
6018,0,0,0.4,-1.6369e-10,3.5819e-10,7.236e-12,2.4769,1.21,1,9
2633.4,0,0,0.4,-1.3983e-10,-4.7288e-10,-1.8165e-10,2.1643,1.21,1,9
6377.3,0,0,0.4,-3.7086e-11,-1.9619e-10,6.8035e-12,2.5175,1.21,1,9
3910.1,0,0,0.4,-1.6549e-11,-2.2539e-10,-1.2844e-10,2.3539,1.21,1,9
7597,0,0,0.4,1.2123e-09,5.4488e-10,8.1591e-10,2.0041,1.21,1,5
2427,0,0,0.4,1.2553e-10,-8.1106e-10,1.1512e-10,2.1892,1.21,1,9
2986,0,0,0.4,1.0552e-09,6.0897e-11,2.7143e-10,2.0051,1.21,1,9
6041.4,0,0,0.4,1.1682e-09,-4.3969e-10,4.0713e-10,2.1176,1.21,1,5
3070.3,0,0,0.4,-5.0746e-10,5.0166e-09,-1.512e-09,2.1097,1.21,1,9
5574.8,0,0,0.4,-1.6707e-09,7.0115e-12,-1.9633e-09,2.6841,1.21,1,5
3656.5,0,0,0.4,-2.6481e-08,7.7216e-08,-2.7844e-09,2.0714,1.21,1,9
3578,0,0,0.4,1.6201e-09,4.2543e-11,8.4885e-11,2.3297,1.21,1,9
4110.9,0,0,0.4,-3.7203e-08,8.3845e-08,-2.9083e-09,2.3393,1.21,1,9
7900.4,0,0,0.4,5.1752e-09,-2.6912e-09,-1.564e-10,2.5657,1.21,1,9
7025.4,0,0,0.4,-1.3259e-10,1.7622e-10,-5.813e-11,2.5886,1.21,1,9
6663.2,0,0,0.4,5.783e-09,4.2677e-10,-1.0824e-10,2.5707,1.21,1,9
8006.5,0,0,0.4,4.4699e-08,5.6768e-08,-1.6788e-10,2.6406,1.21,1,9
4211.6,0,0,0.4,1.5352e-10,-1.7415e-10,1.144e-11,2.433,1.21,1,9
7191.5,0,0,0.4,-3.4887e-10,5.262e-11,7.5904e-11,2.6439,1.21,1,9
4938,0,0,0.4,1.7988e-10,-4.8376e-11,9.2153e-12,2.4878,1.21,1,9
2758.6,0,0,0.4,-5.9215e-10,3.48e-10,-4.934e-10,2.19,1.21,1,9
7160,0,0,0.4,-1.7471e-10,-1.4466e-10,-5.3468e-11,2.5817,1.21,1,9
3454.4,0,0,0.4,-5.3701e-10,-1.6833e-10,-3.113e-11,2.3088,1.21,1,9
2719.8,0,0,0.4,-3.7175e-09,7.2972e-11,1.2606e-09,1.9987,1.21,1,9
5890.8,0,0,0.4,-1.3441e-09,3.1785e-09,1.0049e-09,2.4618,1.21,1,5
4829,0,0,0.4,-7.088e-09,1.0504e-08,4.5725e-11,2.0957,1.21,1,9
4192.8,0,0,0.4,-1.4028e-09,-9.8793e-10,-2.2038e-11,2.1811,1.21,1,9
6979.5,0,0,0.4,1.7787e-09,9.8591e-10,7.8822e-11,2.5261,1.21,1,9
2591.5,0,0,0.4,-9.7685e-10,3.7667e-09,2.5212e-10,2.1507,1.21,1,9
2841.9,0,0,0.4,8.4659e-10,3.3154e-09,3.4019e-10,2.2603,1.21,1,9
5133.9,0,0,0.4,-1.4289e-10,3.1721e-11,2.8119e-13,2.5281,1.21,1,9
2998.4,0,0,0.4,6.0796e-11,5.7731e-10,-6.4402e-12,2.3449,1.21,1,9
5569.7,0,0,0.4,5.0952e-11,1.3059e-10,6.4489e-12,2.5178,1.21,1,9
5119.9,0,0,0.4,1.2092e-10,1.2977e-11,2.9652e-12,2.5075,1.21,1,9
6318.1,0,0,0.4,-1.1794e-10,2.0027e-11,1.5139e-11,2.5747,1.21,1,9
5838.9,0,0,0.4,1.42e-10,1.0239e-10,7.4244e-11,2.5273,1.21,1,9
3428.7,0,0,0.4,-2.8119e-11,-1.2826e-10,8.7849e-11,2.3207,1.21,1,9
5172.2,0,0,0.4,-2.8661e-10,-1.712e-11,6.4115e-11,2.4536,1.21,1,9
3082.9,0,0,0.4,-4.7792e-10,-2.7044e-11,-1.6313e-10,2.2289,1.21,1,9
4112,0,0,0.4,-1.6906e-09,-9.7242e-10,2.1151e-10,2.5356,1.21,1,5
