"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
14601,0,0,0.3,2.8752e-07,-1.8489e-06,9.2258e-07,176.68,1.21,1,5
14972,0,0,0.3,2.3907e-06,1.2718e-06,1.161e-05,184.3,1.21,1,5
12981,0,0,0.3,2.4636e-07,6.4453e-07,-1.4647e-06,187.9,1.21,1,9
12982,0,0,0.3,-5.0461e-06,-3.4945e-06,-9.9023e-07,188.06,1.21,1,9
13870,0,0,0.3,-9.4216e-07,4.0583e-06,-1.5172e-06,189.62,1.21,1,9
13066,0,0,0.3,-3.3125e-06,-8.3433e-07,-3.9992e-06,187.35,1.21,1,9
13174,0,0,0.3,3.5534e-06,-3.2187e-06,-4.6103e-06,182.13,1.21,1,9
12937,0,0,0.3,-6.5667e-06,-5.6853e-06,-1.5529e-06,183.38,1.21,1,9
13334,0,0,0.3,-1.5953e-05,1.2239e-05,-1.7191e-07,181.95,1.21,1,9
13798,0,0,0.3,1.5127e-07,-3.1672e-06,-1.4849e-06,183.57,1.21,1,9
13122,0,0,0.3,6.8901e-06,-2.5136e-06,-3.3606e-06,176.4,1.21,1,5
13382,0,0,0.3,-1.4211e-05,-4.7917e-07,-3.3907e-05,185.74,1.21,1,9
12893,0,0,0.3,-1.1349e-05,-9.5021e-06,-5.7918e-06,182.55,1.21,1,9
13232,0,0,0.3,-1.1494e-05,-3.6887e-06,1.4484e-05,185.2,1.21,1,9
13156,0,0,0.3,-5.704e-06,1.5158e-05,-7.7246e-06,181.87,1.21,1,9
13802,0,0,0.3,-3.7758e-06,-2.4915e-06,-2.7306e-06,185.44,1.21,1,9
13450,0,0,0.3,1.0786e-06,-8.61e-07,6.1987e-07,189.02,1.21,1,9
13311,0,0,0.3,-1.6987e-05,-8.1702e-06,9.4644e-07,182.28,1.21,1,9
13294,0,0,0.3,3.5973e-06,6.5112e-06,2.7796e-06,183.15,1.21,1,9
13285,0,0,0.3,-3.1006e-06,-9.8409e-07,7.6956e-06,190.45,1.21,1,9
14392,0,0,0.3,-3.151e-05,3.4678e-06,-7.0212e-06,182.5,1.21,1,5
13815,0,0,0.3,-4.7796e-07,3.6166e-06,-1.1296e-06,184.17,1.21,1,9
