"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
4181.7,0,0,0.45,2.6494e-09,-3.1173e-09,-1.0589e-09,3.0189,1.21,1,5
4999.9,0,0,0.45,-2.5471e-12,-2.5908e-10,6.5144e-10,2.5576,1.21,1,5
2984.1,0,0,0.45,1.808e-09,1.0433e-09,3.1856e-11,2.7594,1.21,1,9
3312.2,0,0,0.45,2.0693e-09,4.0586e-09,-5.2278e-10,2.8772,1.21,1,9
2140.7,0,0,0.45,4.4377e-10,1.9152e-09,4.0414e-10,2.4581,1.21,1,9
2024.4,0,0,0.45,-6.3976e-09,7.1924e-09,1.084e-09,2.6446,1.21,1,9
4574.9,0,0,0.45,-3.8066e-10,6.3742e-09,-1.7274e-10,3.0699,1.21,1,9
8341.7,0,0,0.45,7.2201e-09,8.4575e-09,2.691e-10,3.3412,1.21,1,9
4919.5,0,0,0.45,4.6062e-10,6.0543e-10,5.5644e-11,3.0414,1.21,1,9
3730.5,0,0,0.45,2.5874e-10,4.2613e-10,-2.9086e-10,2.7037,1.21,1,9
6675.4,0,0,0.45,3.8371e-09,3.497e-09,3.1546e-09,3.3698,1.21,1,5
5059.8,0,0,0.45,3.0735e-09,1.445e-08,8.0505e-10,2.9807,1.21,1,9
4555.1,0,0,0.45,5.5911e-10,3.4529e-09,1.3538e-10,3.0917,1.21,1,9
6450.4,0,0,0.45,-8.3406e-10,1.6908e-08,1.0011e-10,3.2293,1.21,1,9
5430,0,0,0.45,-6.9527e-10,3.5892e-09,1.6121e-10,3.1212,1.21,1,9
2232.3,0,0,0.45,4.2698e-10,-1.5953e-11,-2.8078e-10,2.5302,1.21,1,9
1738.7,0,0,0.45,-3.2154e-10,2.2998e-10,1.37e-10,2.4331,1.21,1,9
3421.9,0,0,0.45,8.1897e-09,4.2727e-09,4.7532e-10,2.8983,1.21,1,9
4699.8,0,0,0.45,1.1868e-09,1.5045e-08,1.268e-09,3.0649,1.21,1,9
3833.8,0,0,0.45,-5.7213e-09,6.8275e-09,-3.6476e-11,2.8902,1.21,1,9
4219.1,0,0,0.45,3.2741e-10,2.6415e-09,-8.2218e-10,2.5893,1.21,1,5
