"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
15563,0,0,0.1,0.00013062,-0.00020514,-0.00014135,79.736,1.21,1,5
15320,0,0,0.1,-0.00023629,0.00029111,0.00020839,76.361,1.21,1,5
14100,0,0,0.1,-0.00012287,-6.1448e-05,4.5413e-05,86.72,1.21,1,9
14807,0,0,0.1,-0.00011948,0.00014023,-0.00010578,89.163,1.21,1,9
15109,0,0,0.1,4.2336e-05,3.4567e-05,-1.5862e-05,79.452,1.21,1,9
14508,0,0,0.1,2.7516e-06,4.4505e-05,0.00017009,87.685,1.21,1,9
14544,0,0,0.1,1.9264e-05,0.00013308,-7.6756e-05,94.379,1.21,1,9
14586,0,0,0.1,-1.3548e-05,-0.00026009,-5.7787e-05,94.8,1.21,1,9
14852,0,0,0.1,-0.00010798,-6.0016e-06,0.0001304,89.207,1.21,1,9
15221,0,0,0.1,-4.7554e-05,3.0162e-05,-0.00013475,77.825,1.21,1,9
14136,0,0,0.1,-0.00030592,-0.00016561,-9.541e-05,78.751,1.21,1,5
14632,0,0,0.1,0.00012771,0.0002133,6.1239e-05,89.616,1.21,1,9
14792,0,0,0.1,-0.00018787,-0.00034948,3.6491e-05,95.289,1.21,1,9
14491,0,0,0.1,8.7366e-05,-0.00013859,-7.7105e-05,95.408,1.21,1,9
14343,0,0,0.1,-9.6605e-05,-5.5448e-08,7.0034e-05,90.487,1.21,1,9
15294,0,0,0.1,-5.6569e-05,-9.97e-05,-5.1655e-05,80.388,1.21,1,9
14922,0,0,0.1,6.8496e-05,7.1521e-05,-0.00013801,80.404,1.21,1,9
14701,0,0,0.1,-9.7665e-05,-8.4873e-05,-3.4663e-05,89.463,1.21,1,9
14594,0,0,0.1,4.3749e-05,-0.00015311,9.2792e-05,90.544,1.21,1,9
14666,0,0,0.1,7.4272e-06,0.00021609,-2.0202e-05,84.756,1.21,1,9
14420,0,0,0.1,0.00033078,0.00014275,0.00019672,73.696,1.21,1,5
15020,0,0,0.1,1.0291e-05,-5.2057e-05,-5.844e-05,77.541,1.21,1,9
14984,0,0,0.1,6.8404e-05,7.9212e-05,4.3874e-05,79.491,1.21,1,9
14231,0,0,0.1,-0.00025475,-2.5553e-05,-4.8217e-06,73.459,1.21,1,5
14290,0,0,0.1,-7.1007e-05,-0.00015596,-0.00020201,76.924,1.21,1,5
15417,0,0,0.1,-0.00015505,0.00016326,5.8383e-05,79.341,1.21,1,5
14576,0,0,0.1,-5.5333e-05,-6.243e-05,-2.2285e-05,80.678,1.21,1,9
14335,0,0,0.1,-3.4201e-05,-2.7716e-05,5.5638e-05,82.523,1.21,1,9
15717,0,0,0.1,7.522e-05,-2.7122e-05,5.5022e-06,83.091,1.21,1,9
15109,0,0,0.1,-5.1612e-05,-0.00012588,1.3895e-05,80.127,1.21,1,9
14716,0,0,0.1,-2.6635e-05,-0.00014599,9.6853e-05,75.829,1.21,1,5
15766,0,0,0.1,7.1844e-06,-9.6923e-08,-1.2111e-05,77.993,1.21,1,5
15026,0,0,0.1,5.4159e-05,0.00020144,-0.0001191,81.499,1.21,1,9
15291,0,0,0.1,-0.0001664,0.00011968,7.3735e-05,82.207,1.21,1,9
14614,0,0,0.1,6.5631e-05,0.00013588,0.00015518,88.382,1.21,1,9
14318,0,0,0.1,-3.5413e-05,0.0001978,-8.2509e-06,89.07,1.21,1,9
14686,0,0,0.1,1.4623e-05,4.9499e-05,7.8365e-05,91.961,1.21,1,9
14270,0,0,0.1,-0.00014269,3.0783e-05,-0.00010256,93.412,1.21,1,9
14796,0,0,0.1,-0.00012822,0.00010086,-0.0001308,86.075,1.21,1,9
