"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
14610,0,0,0.25,7.5543e-06,3.5071e-06,9.2427e-06,178.05,1.21,1,5
14668,0,0,0.25,1.2774e-05,-1.6752e-05,1.0718e-05,178.11,1.21,1,5
13088,0,0,0.25,-2.4419e-06,-5.1758e-07,-2.8669e-07,191.09,1.21,1,9
13089,0,0,0.25,-1.5082e-06,-1.3189e-06,-1.1446e-06,192,1.21,1,9
14179,0,0,0.25,-1.1815e-06,4.0866e-06,-3.4866e-06,182.64,1.21,1,9
13194,0,0,0.25,-3.3638e-06,3.5038e-06,1.1674e-06,192.13,1.21,1,9
13319,0,0,0.25,2.772e-07,-1.1428e-06,-2.3884e-07,190.08,1.21,1,9
13027,0,0,0.25,2.7703e-07,3.6534e-07,-5.5647e-08,192.06,1.21,1,9
13431,0,0,0.25,6.0484e-07,-2.1011e-06,5.0263e-07,195.27,1.21,1,9
14003,0,0,0.25,1.5441e-07,7.0258e-06,3.9522e-07,181.87,1.21,1,9
12783,0,0,0.25,8.2874e-06,9.5883e-06,1.8393e-05,177.06,1.21,1,5
13432,0,0,0.25,-3.3248e-07,1.42e-06,-9.6462e-07,192.75,1.21,1,9
13318,0,0,0.25,5.6567e-08,-6.2885e-07,-1.3047e-07,189.71,1.21,1,9
13388,0,0,0.25,3.5622e-07,-2.8676e-07,-4.2567e-08,203.18,1.21,1,9
12992,0,0,0.25,-1.1183e-06,2.0804e-06,-3.9672e-07,202.15,1.21,1,9
13932,0,0,0.25,1.3363e-06,-1.7745e-06,-4.1338e-06,187.91,1.21,1,9
13465,0,0,0.25,-2.3252e-06,-7.1453e-07,-8.6599e-08,184.5,1.21,1,9
13445,0,0,0.25,1.0257e-06,-5.8551e-07,-2.6064e-07,196.53,1.21,1,9
13332,0,0,0.25,-1.23e-07,-1.4888e-07,-3.7207e-07,203.04,1.21,1,9
13482,0,0,0.25,3.9863e-06,-4.3502e-06,3.768e-06,197.71,1.21,1,9
14123,0,0,0.25,-6.8908e-06,4.5878e-06,-1.4749e-05,177.83,1.21,1,5
13912,0,0,0.25,-3.3858e-06,-5.1853e-07,-9.4882e-07,182.1,1.21,1,9
13482,0,0,0.25,-5.7587e-06,7.5974e-07,6.8395e-07,187.83,1.21,1,9
13907,0,0,0.25,-3.7363e-06,1.8933e-05,2.1851e-06,177.68,1.21,1,5
13850,0,0,0.25,5.0946e-06,-1.6723e-06,-6.9894e-06,178.34,1.21,1,5
13858,0,0,0.25,2.0309e-06,-4.9613e-06,-3.96e-06,178.26,1.21,1,5
13295,0,0,0.25,-5.1702e-06,8.1254e-06,2.2445e-06,182.78,1.21,1,9
12995,0,0,0.25,-9.1196e-07,4.4754e-06,5.4489e-08,183.1,1.21,1,9
14093,0,0,0.25,-6.1391e-07,5.2043e-06,-3.8903e-06,184.01,1.21,1,9
13706,0,0,0.25,1.2232e-06,1.2526e-06,-1.5088e-05,181.46,1.21,1,9
14351,0,0,0.25,-2.3745e-06,8.1416e-06,3.2515e-06,176.4,1.21,1,5
14807,0,0,0.25,-3.6786e-07,1.8894e-06,-3.2481e-06,180.17,1.21,1,5
13719,0,0,0.25,-4.2194e-06,6.8485e-06,1.0025e-05,186.14,1.21,1,9
14170,0,0,0.25,-4.7301e-06,-1.5507e-05,-9.3685e-06,187.42,1.21,1,9
12952,0,0,0.25,-2.0199e-07,1.9878e-06,-9.4013e-07,192.89,1.21,1,9
14154,0,0,0.25,-2.8387e-06,-3.0369e-06,7.3199e-07,192.03,1.21,1,9
13309,0,0,0.25,4.695e-07,1.3009e-07,-4.8953e-07,192.66,1.21,1,9
13918,0,0,0.25,5.4175e-07,1.1725e-06,-3.0128e-07,191.52,1.21,1,9
13082,0,0,0.25,-2.9947e-06,-3.6039e-06,-2.3583e-06,190.18,1.21,1,9
13131,0,0,0.25,1.6045e-06,-1.0085e-06,-2.3766e-08,190.75,1.21,1,9
13191,0,0,0.25,1.5661e-06,5.8794e-07,-2.0217e-08,192.77,1.21,1,9
15184,0,0,0.25,9.4068e-06,-1.9608e-06,-3.2266e-06,172.52,1.21,1,5
13173,0,0,0.25,-7.6523e-07,-5.911e-08,-4.2963e-07,190.94,1.21,1,9
13659,0,0,0.25,1.9523e-07,2.0253e-07,-4.3468e-08,182.16,1.21,1,9
14093,0,0,0.25,1.667e-06,-3.2936e-07,-2.4416e-06,174.24,1.21,1,5
13132,0,0,0.25,-7.7854e-06,1.0957e-05,2.7989e-06,183.98,1.21,1,9
14040,0,0,0.25,1.4892e-05,-1.6178e-05,1.7196e-05,178.42,1.21,1,5
13528,0,0,0.25,6.3268e-06,3.2137e-06,-5.9264e-07,185.75,1.21,1,9
12904,0,0,0.25,6.7352e-07,2.7623e-07,1.1928e-08,192.8,1.21,1,9
13208,0,0,0.25,-9.7959e-07,3.5234e-06,5.9371e-07,192.94,1.21,1,9
13295,0,0,0.25,1.2812e-06,-2.201e-07,8.9292e-08,191.58,1.21,1,9
15020,0,0,0.25,-5.4811e-07,-2.1258e-07,-8.8452e-08,188.8,1.21,1,9
13960,0,0,0.25,3.1175e-07,-9.8232e-07,-2.1888e-07,187.97,1.21,1,9
12625,0,0,0.25,5.7288e-08,1.9341e-07,-1.6518e-06,189.53,1.21,1,9
12998,0,0,0.25,-7.1696e-08,-4.879e-07,7.3852e-08,195.32,1.21,1,9
13355,0,0,0.25,-2.7564e-07,6.855e-07,-2.033e-08,197.55,1.21,1,9
13387,0,0,0.25,-6.9927e-07,3.2155e-07,-9.7371e-08,201.03,1.21,1,9
13575,0,0,0.25,8.3705e-07,1.0069e-06,-8.4363e-07,190.51,1.21,1,9
13522,0,0,0.25,2.9482e-07,-6.9508e-08,-1.3191e-07,199.77,1.21,1,9
