"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
4133.5,0,0,0.35,-5.6172e-10,-2.8836e-09,1.338e-09,1.9322,1.21,1,5
4973.4,0,0,0.35,-3.9503e-10,-9.2582e-12,3.6881e-10,1.5693,1.21,1,5
2939.8,0,0,0.35,-1.8738e-10,-2.2141e-10,5.9047e-11,1.694,1.21,1,9
3268,0,0,0.35,5.197e-11,9.6971e-11,-2.173e-11,1.786,1.21,1,9
2096.8,0,0,0.35,2.4772e-10,-2.3902e-10,1.8307e-10,1.5106,1.21,1,9
1975.3,0,0,0.35,2.9996e-10,-6.6797e-10,3.592e-10,1.6411,1.21,1,9
4535.3,0,0,0.35,-1.1439e-09,9.3306e-11,3.2227e-11,1.9145,1.21,1,9
8324.5,0,0,0.35,1.3663e-10,-1.0124e-10,-1.0692e-11,2.0912,1.21,1,9
4883.1,0,0,0.35,1.3645e-11,-1.6548e-10,-8.7511e-11,1.886,1.21,1,9
3693.6,0,0,0.35,-1.8406e-10,1.1014e-09,1.1016e-09,1.6761,1.21,1,9
6631.8,0,0,0.35,-2.0984e-09,-1.7456e-09,7.7125e-10,2.1626,1.21,1,5
5025,0,0,0.35,4.169e-10,2.8721e-10,1.5074e-10,1.8552,1.21,1,9
4514.5,0,0,0.35,-2.2957e-10,-4.293e-10,2.1657e-11,1.9337,1.21,1,9
6417.8,0,0,0.35,3.0894e-10,2.7626e-10,-2.7429e-13,2.0209,1.21,1,9
5393.8,0,0,0.35,-1.8609e-10,-1.4844e-12,-1.0997e-11,1.9538,1.21,1,9
2182,0,0,0.35,2.8881e-10,-5.2563e-10,-2.8369e-10,1.5599,1.21,1,9
1692.3,0,0,0.35,2.5776e-10,1.5459e-10,1.3228e-10,1.4957,1.21,1,9
3378.2,0,0,0.35,1.3416e-10,1.6178e-10,1.4793e-10,1.8032,1.21,1,9
4660.7,0,0,0.35,1.8687e-10,-2.9442e-11,1.0168e-10,1.8974,1.21,1,9
3792.6,0,0,0.35,-2.1656e-11,-3.9314e-10,3.5225e-11,1.7988,1.21,1,9
4189.6,0,0,0.35,-5.2301e-10,-1.2888e-10,-1.6446e-10,1.6,1.21,1,5
4953,0,0,0.35,1.2769e-10,-3.053e-10,-4.3151e-10,1.763,1.21,1,9
3376.5,0,0,0.35,-1.3022e-09,3.909e-10,5.3316e-10,1.6301,1.21,1,9
4237,0,0,0.35,-1.9751e-10,7.0088e-10,1.4055e-10,1.6126,1.21,1,5
7038.7,0,0,0.35,3.6583e-10,6.8947e-10,1.2059e-09,1.554,1.21,1,5
3818.7,0,0,0.35,-1.8762e-09,-7.0277e-10,1.3046e-09,1.928,1.21,1,5
4572.2,0,0,0.35,-4.3771e-10,1.2625e-09,-2.5661e-10,1.7214,1.21,1,9
2357.8,0,0,0.35,-1.3717e-09,-5.5938e-10,-8.8821e-11,1.5573,1.21,1,9
2196.8,0,0,0.35,-4.5957e-10,-1.9852e-09,3.1343e-10,1.5499,1.21,1,9
3182.6,0,0,0.35,2.0469e-10,-1.8874e-10,1.2439e-10,1.6439,1.21,1,9
4874.6,0,0,0.35,-8.6468e-10,-5.5837e-10,-5.9545e-10,1.6244,1.21,1,5
5498.5,0,0,0.35,-5.1582e-11,-3.7068e-10,-2.7375e-10,1.6105,1.21,1,5
2034.5,0,0,0.35,-6.9145e-10,-6.2154e-11,-8.7875e-11,1.505,1.21,1,9
2233.9,0,0,0.35,-9.7735e-11,-1.9717e-10,-1.0987e-10,1.5086,1.21,1,9
1742.8,0,0,0.35,-6.4329e-11,4.709e-11,-1.5231e-10,1.6386,1.21,1,9
3918.3,0,0,0.35,-8.6883e-12,1.6964e-10,-1.2541e-10,1.8152,1.21,1,9
3738.2,0,0,0.35,-2.1089e-10,1.2916e-10,1.3445e-10,1.8244,1.21,1,9
6001.9,0,0,0.35,-8.8578e-11,5.4882e-12,1.1334e-11,1.9333,1.21,1,9
2611.2,0,0,0.35,2.404e-10,4.5061e-11,-2.221e-10,1.6809,1.21,1,9
6364,0,0,0.35,6.5928e-11,-1.2731e-11,-2.7026e-12,1.9642,1.21,1,9
3889.9,0,0,0.35,-1.2485e-10,1.9195e-10,-7.9378e-11,1.8347,1.21,1,9
7596.4,0,0,0.35,4.7829e-11,1.1636e-09,4.6258e-11,1.5536,1.21,1,5
2403.6,0,0,0.35,3.4456e-11,2.3475e-10,2.3634e-10,1.7018,1.21,1,9
2967.7,0,0,0.35,7.4289e-10,2.2433e-10,-5.2949e-10,1.5563,1.21,1,9
6032.5,0,0,0.35,6.7442e-10,3.4717e-10,3.8538e-10,1.6424,1.21,1,5
3051.2,0,0,0.35,1.2592e-09,-1.186e-09,5.2948e-10,1.6386,1.21,1,9
5550.2,0,0,0.35,2.6719e-09,-1.5606e-09,1.1025e-09,2.0848,1.21,1,5
3638.1,0,0,0.35,1.2213e-07,-8.5948e-08,4.4545e-10,1.6016,1.21,1,9
3556.9,0,0,0.35,-5.6803e-10,-9.4443e-10,3.4899e-10,1.8133,1.21,1,9
4089.5,0,0,0.35,1.2507e-07,-8.6833e-08,7.0676e-10,1.8214,1.21,1,9
7887.8,0,0,0.35,-1.083e-09,7.9158e-10,6.9795e-11,2.0024,1.21,1,9
7010.2,0,0,0.35,7.2597e-11,1.2166e-10,3.3427e-11,2.0206,1.21,1,9
6647.7,0,0,0.35,-2.243e-09,-6.9425e-11,1.5443e-10,2.0078,1.21,1,9
7993.7,0,0,0.35,-2.9741e-10,-5.4949e-10,6.5762e-11,2.0673,1.21,1,9
4191.6,0,0,0.35,1.4694e-10,1.7205e-11,-8.5711e-12,1.9019,1.21,1,9
7180.6,0,0,0.35,6.2756e-10,8.3816e-11,-8.8928e-12,2.0676,1.21,1,9
4918.9,0,0,0.35,2.0962e-11,3.7937e-11,-2.8092e-11,1.9531,1.21,1,9
2737.3,0,0,0.35,8.3496e-11,-3.9681e-10,2.4325e-10,1.6939,1.21,1,9
7144.5,0,0,0.35,-1.6732e-10,4.044e-10,-1.3385e-10,2.0055,1.21,1,9
3432.8,0,0,0.35,-2.2395e-11,2.9378e-10,-1.7467e-10,1.8059,1.21,1,9
2695,0,0,0.35,5.8046e-10,-3.4801e-10,3.2102e-10,1.6042,1.21,1,9
5871.3,0,0,0.35,1.861e-11,-4.1032e-09,1.1005e-10,1.8521,1.21,1,5
4812.1,0,0,0.35,-2.163e-09,1.2783e-10,4.2813e-11,1.622,1.21,1,9
4176.2,0,0,0.35,1.6279e-09,-2.0982e-09,-5.8555e-10,1.6933,1.21,1,9
6966.2,0,0,0.35,-6.0138e-10,1.821e-10,1.3333e-10,1.9676,1.21,1,9
2569.3,0,0,0.35,2.0074e-10,2.9365e-10,-8.1272e-11,1.6698,1.21,1,9
2818.7,0,0,0.35,3.682e-10,-1.945e-10,-3.7553e-11,1.7607,1.21,1,9
5115.2,0,0,0.35,1.6579e-08,1.4893e-08,-1.1049e-11,1.9745,1.21,1,9
2975.2,0,0,0.35,3.2201e-11,-8.9941e-11,7.074e-12,1.8319,1.21,1,9
5552.3,0,0,0.35,-8.1147e-11,7.9693e-11,-9.3423e-12,1.9715,1.21,1,9
5101.7,0,0,0.35,9.669e-12,6.9088e-11,6.6637e-12,1.9596,1.21,1,9
6302.2,0,0,0.35,2.3189e-10,5.1889e-11,2.2496e-12,2.0168,1.21,1,9
5822.4,0,0,0.35,-7.6439e-11,1.1494e-10,-1.4188e-12,1.9818,1.21,1,9
3407,0,0,0.35,-3.3887e-12,1.6193e-10,-1.9248e-10,1.7967,1.21,1,9
5155.2,0,0,0.35,3.318e-11,1.6471e-10,2.2489e-10,1.9144,1.21,1,9
3062.4,0,0,0.35,-3.3368e-11,1.4628e-10,3.1262e-11,1.7393,1.21,1,9
4083.4,0,0,0.35,-1.462e-10,-4.4674e-10,4.5418e-10,1.9446,1.21,1,5
2386.3,0,0,0.35,-1.4853e-10,2.7041e-10,-2.2567e-10,1.6156,1.21,1,9
5100.1,0,0,0.35,2.5941e-11,-1.367e-09,9.5705e-10,1.5969,1.21,1,5
2051.5,0,0,0.35,7.9229e-11,-6.4963e-11,4.5812e-11,1.6684,1.21,1,9
3029.7,0,0,0.35,3.8697e-10,-1.4242e-10,2.0579e-11,1.5533,1.21,1,5
2197.4,0,0,0.35,-2.8927e-10,-5.0848e-10,-6.7829e-11,1.5296,1.21,1,9
4001.6,0,0,0.35,-1.0185e-11,5.8736e-10,1.2968e-10,1.8799,1.21,1,9
4560.7,0,0,0.35,-2.3781e-10,2.7782e-10,1.4173e-10,1.7944,1.21,1,9
