"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
4318.6,0,0,0.7,1.5648e-09,-1.341e-09,8.7705e-10,6.7848,1.21,1,5
5077.6,0,0,0.7,-1.6368e-10,-1.7542e-10,2.4964e-09,5.8853,1.21,1,5
3111.4,0,0,0.7,-4.8162e-10,-1.1068e-09,-1.9492e-10,6.4013,1.21,1,9
3441.8,0,0,0.7,1.9895e-10,2.3043e-09,4.0891e-10,6.6407,1.21,1,9
2263.2,0,0,0.7,9.4132e-10,-2.8273e-10,1.6528e-10,5.773,1.21,1,9
2162,0,0,0.7,-9.3651e-09,2.5255e-08,4.6249e-09,6.1501,1.21,1,9
4694.1,0,0,0.7,-1.7666e-09,-1.8936e-10,-9.0199e-11,7.0071,1.21,1,9
8415,0,0,0.7,3.3945e-10,-1.8257e-09,8.7906e-12,7.5774,1.21,1,9
5030.3,0,0,0.7,6.1985e-10,1.4098e-10,-3.7646e-11,6.9551,1.21,1,9
3839.6,0,0,0.7,2.0523e-09,-3.7609e-10,7.0816e-10,6.2632,1.21,1,9
6805,0,0,0.7,8.3322e-09,-4.0268e-09,3.789e-09,7.5068,1.21,1,5
5167,0,0,0.7,5.4022e-09,1.2059e-08,-3.9951e-09,6.8733,1.21,1,9
4676.7,0,0,0.7,-7.5721e-10,6.0768e-10,1.8054e-10,7.0424,1.21,1,9
6552.6,0,0,0.7,3.5318e-10,1.58e-09,2.6146e-11,7.3244,1.21,1,9
5538.8,0,0,0.7,5.5199e-11,2.6177e-10,-6.1022e-11,7.1112,1.21,1,9
2363.5,0,0,0.7,-1.0599e-09,1.983e-09,7.6092e-10,5.9401,1.21,1,9
1865.6,0,0,0.7,-4.1944e-10,-3.8873e-10,-2.7078e-10,5.7281,1.21,1,9
3549.4,0,0,0.7,-6.682e-10,3.1873e-11,-1.0913e-10,6.6509,1.21,1,9
4815.7,0,0,0.7,2.7319e-10,7.4426e-10,5.9028e-11,7.0004,1.21,1,9
3950.6,0,0,0.7,-4.632e-11,-2.1891e-10,-3.5459e-10,6.6456,1.21,1,9
4308.4,0,0,0.7,5.3184e-10,-1.0079e-09,-7.1232e-11,5.98,1.21,1,5
5085.5,0,0,0.7,-6.4456e-10,4.4565e-10,-6.9582e-10,6.5356,1.21,1,9
3550.7,0,0,0.7,-2.7322e-09,-3.3584e-09,9.2759e-10,6.0605,1.21,1,9
4358.3,0,0,0.7,5.7302e-11,1.9855e-09,3.5276e-10,6.0343,1.21,1,5
7117.3,0,0,0.7,9.3069e-10,1.1241e-09,-9.1181e-10,5.918,1.21,1,5
4009.5,0,0,0.7,2.9332e-09,2.6748e-11,-4.0388e-10,6.8795,1.21,1,5
