"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
4133.4,0,0,0.35,1.5013e-10,1.0063e-09,-1.2924e-09,1.9249,1.21,1,5
4973.5,0,0,0.35,6.1909e-10,-8.7474e-10,8.5207e-10,1.5665,1.21,1,5
2939.9,0,0,0.35,1.0594e-10,-4.1585e-10,-3.4097e-11,1.6926,1.21,1,9
3268,0,0,0.35,2.0907e-10,-2.4785e-12,-2.8789e-11,1.782,1.21,1,9
2096.8,0,0,0.35,-9.1012e-11,-5.5418e-10,3.6981e-10,1.5069,1.21,1,9
1975.3,0,0,0.35,-4.8209e-09,6.5136e-09,3.1979e-10,1.6367,1.21,1,9
4535.4,0,0,0.35,-8.1295e-10,4.9363e-10,7.4989e-11,1.9108,1.21,1,9
8324.5,0,0,0.35,-1.7438e-10,-8.1854e-11,1.3202e-12,2.0873,1.21,1,9
4883.1,0,0,0.35,-1.2044e-10,-1.6517e-10,1.2101e-11,1.8821,1.21,1,9
3693.6,0,0,0.35,-1.1811e-09,8.2999e-10,8.0787e-11,1.6719,1.21,1,9
6631.9,0,0,0.35,1.3437e-09,-2.297e-09,6.2943e-10,2.1581,1.21,1,5
5025,0,0,0.35,-3.4798e-09,-9.8044e-09,8.0405e-10,1.8506,1.21,1,9
4514.6,0,0,0.35,5.7355e-10,-1.5591e-09,2.7844e-11,1.9291,1.21,1,9
6417.8,0,0,0.35,2.5091e-11,2.3995e-10,-1.0075e-11,2.0164,1.21,1,9
5393.8,0,0,0.35,-1.4002e-10,-9.4765e-11,2.0124e-11,1.9494,1.21,1,9
2182,0,0,0.35,2.6805e-10,1.4852e-10,3.4932e-10,1.5555,1.21,1,9
1692.2,0,0,0.35,1.3318e-07,3.153e-08,1.1167e-11,1.4908,1.21,1,9
3378.1,0,0,0.35,2.7481e-10,-2.1863e-11,-1.1231e-10,1.7973,1.21,1,9
4660.6,0,0,0.35,5.3926e-11,-2.5854e-11,-8.5443e-11,1.8924,1.21,1,9
3792.6,0,0,0.35,-4.8338e-11,2.3733e-10,-2.914e-10,1.7942,1.21,1,9
4189.6,0,0,0.35,1.0325e-09,4.1294e-10,5.4948e-10,1.5956,1.21,1,5
4953,0,0,0.35,1.335e-10,-2.5918e-10,2.2609e-10,1.7582,1.21,1,9
3376.4,0,0,0.35,-9.9092e-11,-2.4842e-10,1.0669e-09,1.6252,1.21,1,9
4237,0,0,0.35,-3.4368e-10,6.1028e-11,1.871e-10,1.608,1.21,1,5
7039.9,0,0,0.35,1.1748e-09,-4.8464e-10,-1.4192e-09,1.5488,1.21,1,5
3818.7,0,0,0.35,-1.6609e-09,1.8171e-09,-6.4264e-10,1.928,1.21,1,5
4572.3,0,0,0.35,5.8768e-10,3.4897e-09,-8.5322e-10,1.717,1.21,1,9
2357.9,0,0,0.35,-1.4412e-09,3.2801e-10,-4.0837e-11,1.5539,1.21,1,9
2196.7,0,0,0.35,-3.0044e-10,2.7759e-10,-7.4226e-10,1.5455,1.21,1,9
3182.6,0,0,0.35,2.2921e-10,-1.8786e-11,-2.9141e-10,1.6399,1.21,1,9
4874.9,0,0,0.35,-1.752e-09,-4.2164e-10,-5.2249e-10,1.6194,1.21,1,5
5498.4,0,0,0.35,-7.4631e-10,-1.5262e-09,-4.9544e-10,1.6067,1.21,1,5
2034.6,0,0,0.35,2.7155e-10,-2.9333e-10,3.6246e-10,1.4999,1.21,1,9
2234,0,0,0.35,2.234e-11,4.9761e-11,9.5219e-11,1.5039,1.21,1,9
1743,0,0,0.35,2.2484e-10,3.534e-10,7.6532e-11,1.633,1.21,1,9
3918.3,0,0,0.35,1.8149e-10,-4.8535e-10,-6.2359e-12,1.8112,1.21,1,9
3738.3,0,0,0.35,-2.0913e-10,1.5019e-10,1.9431e-10,1.8213,1.21,1,9
6001.9,0,0,0.35,2.3279e-11,-1.1511e-10,8.2492e-13,1.9285,1.21,1,9
2611.2,0,0,0.35,-2.4299e-10,-1.2115e-10,-2.1999e-10,1.6769,1.21,1,9
6364,0,0,0.35,8.8246e-11,1.4632e-11,1.3537e-11,1.96,1.21,1,9
3889.9,0,0,0.35,-9.5352e-11,9.635e-11,9.3672e-11,1.8307,1.21,1,9
7596.7,0,0,0.35,-4.8118e-10,-1.656e-09,3.5564e-10,1.5495,1.21,1,5
2403.7,0,0,0.35,2.261e-10,-4.6782e-10,2.2005e-10,1.6977,1.21,1,9
2967.7,0,0,0.35,1.9251e-10,-7.4898e-10,-2.902e-10,1.5522,1.21,1,9
6032.5,0,0,0.35,-4.0609e-10,3.9243e-10,-3.1796e-10,1.6385,1.21,1,5
