"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
4157.1,0,0,0.4,-3.8834e-10,1.8531e-09,-5.5983e-10,2.4415,1.21,1,5
4986.1,0,0,0.4,6.5786e-10,1.5811e-09,-8.935e-10,2.0368,1.21,1,5
2961.6,0,0,0.4,1.1259e-10,5.5172e-10,7.2635e-11,2.1973,1.21,1,9
3289.5,0,0,0.4,7.3952e-11,-1.1822e-10,4.6686e-11,2.2972,1.21,1,9
2118.3,0,0,0.4,-3.2265e-11,-2.8352e-10,-2.1013e-10,1.9528,1.21,1,9
1999.3,0,0,0.4,-1.0229e-08,1.4682e-08,-1.2994e-09,2.1098,1.21,1,9
4554.5,0,0,0.4,-3.1562e-10,7.9722e-10,4.2638e-11,2.4578,1.21,1,9
8331.8,0,0,0.4,-4.5396e-10,7.6977e-11,-3.5663e-11,2.6803,1.21,1,9
4900.9,0,0,0.4,-2.5235e-10,-3.1559e-10,9.4905e-11,2.431,1.21,1,9
3712.1,0,0,0.4,4.2301e-08,7.6368e-08,1.3592e-10,2.1564,1.21,1,9
6655.8,0,0,0.4,5.9126e-09,2.9447e-09,1.0377e-09,2.7326,1.21,1,5
5041.7,0,0,0.4,1.6417e-09,8.7039e-09,-1.0582e-10,2.3821,1.21,1,9
4534.1,0,0,0.4,-7.8069e-11,-1.3458e-09,1.223e-10,2.4772,1.21,1,9
6433.5,0,0,0.4,-1.1773e-09,-1.2991e-09,1.1714e-10,2.5892,1.21,1,9
5411.5,0,0,0.4,-1.7557e-07,7.3199e-07,4.7735e-10,2.5038,1.21,1,9
2205.2,0,0,0.4,-4.17e-10,-8.2681e-10,1.4492e-10,2.0103,1.21,1,9
1715.1,0,0,0.4,7.7561e-10,2.2501e-10,-2.3285e-10,1.9323,1.21,1,9
3399.4,0,0,0.4,1.4904e-10,-2.5337e-10,-1.6142e-10,2.3164,1.21,1,9
4679.7,0,0,0.4,1.4016e-08,5.1107e-09,-3.3675e-09,2.4402,1.21,1,9
3813.6,0,0,0.4,1.5486e-09,-2.358e-08,1.2088e-08,2.3096,1.21,1,9
4203.8,0,0,0.4,-5.4961e-10,-5.88e-11,1.085e-10,2.0632,1.21,1,5
4968.2,0,0,0.4,-5.5025e-08,6.251e-08,8.7891e-10,2.265,1.21,1,9
3395.9,0,0,0.4,1.9359e-09,-1.3647e-09,2.2693e-10,2.0998,1.21,1,9
4251.6,0,0,0.4,1.1006e-09,-1.4776e-09,-5.304e-10,2.0755,1.21,1,5
7051.3,0,0,0.4,-2.1083e-09,9.2096e-11,2.511e-09,2.0013,1.21,1,5
3843.5,0,0,0.4,1.5396e-09,1.4697e-10,3.2416e-10,2.4723,1.21,1,5
4588.5,0,0,0.4,-2.0597e-09,-3.2119e-09,6.4683e-10,2.2135,1.21,1,9
2381.4,0,0,0.4,1.6295e-09,7.8382e-10,-2.6919e-10,2.0158,1.21,1,9
2219,0,0,0.4,3.4091e-10,1.5743e-09,-4.1272e-11,2.0006,1.21,1,9
3201.1,0,0,0.4,-4.2479e-08,-5.0222e-08,-4.3936e-10,2.1152,1.21,1,9
4887.9,0,0,0.4,-3.1317e-10,-2.1032e-10,-6.1611e-10,2.0954,1.21,1,5
5510.6,0,0,0.4,4.7645e-10,-4.2397e-10,5.9978e-10,2.077,1.21,1,5
2056.1,0,0,0.4,2.1912e-10,2.6024e-10,-3.3838e-10,1.942,1.21,1,9
2255,0,0,0.4,7.109e-11,-1.1333e-10,-2.9423e-10,1.9521,1.21,1,9
1769.2,0,0,0.4,3.335e-10,3.6451e-10,1.7081e-10,2.1047,1.21,1,9
3938,0,0,0.4,2.9104e-10,2.8979e-10,1.2508e-10,2.3338,1.21,1,9
3758.9,0,0,0.4,1.1906e-10,2.2153e-11,-1.0896e-11,2.345,1.21,1,9
