"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
14610,0,0,0.25,-1.8888e-07,1.9292e-06,-2.2716e-06,178.03,1.21,1,5
14672,0,0,0.25,-2.0923e-07,7.8704e-06,-1.7276e-05,178.13,1.21,1,5
13088,0,0,0.25,-9.7944e-07,3.84e-07,-6.6472e-07,191.11,1.21,1,9
13089,0,0,0.25,-2.8383e-06,-2.2972e-07,7.2011e-07,192.01,1.21,1,9
14176,0,0,0.25,-4.507e-06,-1.5544e-06,-9.0416e-07,182.64,1.21,1,9
13276,0,0,0.25,-1.67e-06,-3.6963e-06,8.2839e-07,192.25,1.21,1,9
13320,0,0,0.25,-1.0934e-06,1.0659e-06,5.0182e-08,190.2,1.21,1,9
13027,0,0,0.25,-6.5775e-07,8.2947e-07,-1.3917e-07,192.08,1.21,1,9
13431,0,0,0.25,9.4936e-07,1.9798e-06,-1.9723e-07,195.27,1.21,1,9
14004,0,0,0.25,3.6856e-06,1.4321e-05,-5.616e-06,181.87,1.21,1,9
12785,0,0,0.25,9.0023e-06,1.1122e-05,-1.0201e-05,177.02,1.21,1,5
13432,0,0,0.25,-1.6845e-06,-1.5193e-06,-2.5611e-07,192.74,1.21,1,9
13317,0,0,0.25,3.7405e-08,-4.947e-07,-1.2951e-07,189.64,1.21,1,9
13359,0,0,0.25,-9.5512e-07,-5.5561e-07,8.2668e-08,203.11,1.21,1,9
12992,0,0,0.25,-8.9985e-08,1.0243e-06,2.3444e-07,202.14,1.21,1,9
13931,0,0,0.25,4.1118e-06,7.6332e-06,3.6954e-06,187.91,1.21,1,9
13467,0,0,0.25,-1.6443e-06,1.2229e-06,5.6292e-08,184.48,1.21,1,9
13445,0,0,0.25,-5.2263e-07,3.8255e-07,4.6377e-07,196.5,1.21,1,9
13332,0,0,0.25,9.3456e-08,1.7653e-06,3.7801e-07,203.02,1.21,1,9
13483,0,0,0.25,4.7257e-06,3.5159e-06,1.5542e-06,197.7,1.21,1,9
14121,0,0,0.25,1.1347e-05,-1.8398e-05,-2.39e-05,177.83,1.21,1,5
13910,0,0,0.25,7.8385e-07,1.3724e-06,-2.2876e-07,182.06,1.21,1,9
13482,0,0,0.25,-3.3574e-06,-3.6124e-06,4.8624e-08,187.84,1.21,1,9
13784,0,0,0.25,-5.3154e-06,-8.1331e-06,1.4616e-06,177.63,1.21,1,5
13850,0,0,0.25,2.0564e-05,1.4693e-05,2.1896e-06,178.36,1.21,1,5
13752,0,0,0.25,-2.4945e-06,-3.8926e-06,-9.5261e-06,178.09,1.21,1,5
13295,0,0,0.25,3.0086e-06,1.0765e-07,1.8052e-06,182.81,1.21,1,9
13014,0,0,0.25,-5.0332e-06,-2.2071e-06,2.069e-06,183.16,1.21,1,9
14090,0,0,0.25,-7.4189e-06,-8.854e-06,4.0147e-06,184.01,1.21,1,9
13706,0,0,0.25,-1.3974e-05,9.7506e-08,1.2832e-05,181.47,1.21,1,9
14352,0,0,0.25,2.6598e-06,-1.79e-06,-9.0211e-06,176.4,1.21,1,5
14806,0,0,0.25,-1.0141e-05,-7.2733e-06,1.4294e-05,180.19,1.21,1,5
13719,0,0,0.25,-1.5947e-06,-1.1087e-05,3.5613e-06,186.15,1.21,1,9
14169,0,0,0.25,-9.6188e-06,1.2537e-05,7.0739e-06,187.45,1.21,1,9
12952,0,0,0.25,1.5356e-06,1.5294e-06,-1.3467e-06,192.92,1.21,1,9
14154,0,0,0.25,1.405e-06,-2.214e-06,-1.0396e-06,192.05,1.21,1,9
13310,0,0,0.25,5.6306e-07,-1.8242e-07,-1.9845e-08,192.7,1.21,1,9
13919,0,0,0.25,9.4178e-08,-9.769e-07,1.4864e-07,191.55,1.21,1,9
13081,0,0,0.25,4.7131e-06,3.6815e-06,3.1974e-06,190.18,1.21,1,9
13132,0,0,0.25,-6.1683e-07,-5.1798e-07,-2.4461e-07,190.76,1.21,1,9
13191,0,0,0.25,-1.8212e-06,-1.05e-06,-8.1501e-07,192.78,1.21,1,9
15188,0,0,0.25,-9.9656e-06,-1.3111e-06,8.2945e-06,172.54,1.21,1,5
13173,0,0,0.25,3.3417e-07,7.8231e-07,-8.5171e-07,190.94,1.21,1,9
13659,0,0,0.25,1.0589e-06,2.7691e-06,-1.2735e-06,182.16,1.21,1,9
14093,0,0,0.25,-2.0383e-06,-2.3486e-06,-2.4047e-06,174.24,1.21,1,5
13133,0,0,0.25,-4.7752e-06,1.7639e-05,3.3273e-06,184,1.21,1,9
14044,0,0,0.25,-3.9836e-07,6.9209e-06,-6.4513e-06,178.4,1.21,1,5
13530,0,0,0.25,-1.5684e-06,3.6356e-07,1.0372e-05,185.74,1.21,1,9
12904,0,0,0.25,-2.4562e-07,6.6926e-07,-2.4842e-07,192.83,1.21,1,9
13209,0,0,0.25,-3.226e-06,-6.6528e-08,-1.6676e-07,192.95,1.21,1,9
13295,0,0,0.25,8.4131e-07,-2.8549e-07,-1.4623e-07,191.56,1.21,1,9
15021,0,0,0.25,-7.857e-07,8.1775e-07,-2.9489e-08,188.95,1.21,1,9
13959,0,0,0.25,-5.5751e-07,1.8905e-07,-7.9481e-08,187.85,1.21,1,9
12624,0,0,0.25,-5.408e-07,2.5724e-08,2.1562e-07,189.52,1.21,1,9
12998,0,0,0.25,-8.5506e-07,-4.6474e-07,7.3843e-08,195.32,1.21,1,9
13355,0,0,0.25,-6.2386e-07,5.0612e-07,-2.1249e-08,197.53,1.21,1,9
13387,0,0,0.25,-1.0609e-06,-6.7788e-07,3.4707e-08,201.02,1.21,1,9
13575,0,0,0.25,1.2232e-06,4.7315e-06,-1.0803e-06,190.51,1.21,1,9
13522,0,0,0.25,2.2851e-06,5.2003e-07,-2.4899e-08,199.76,1.21,1,9
13409,0,0,0.25,-2.7794e-06,6.6114e-07,2.4403e-06,195.33,1.21,1,9
13780,0,0,0.25,-1.9847e-05,-2.3378e-06,-5.2842e-06,185.3,1.21,1,9
14349,0,0,0.25,-3.6491e-05,1.29e-06,3.2309e-06,179.62,1.21,1,5
13104,0,0,0.25,-2.492e-06,-3.628e-06,4.2767e-07,184.61,1.21,1,9
13458,0,0,0.25,-1.1464e-05,-7.7425e-06,-1.881e-06,182.92,1.21,1,9
13155,0,0,0.25,4.1328e-07,7.2944e-07,-1.4228e-07,190.26,1.21,1,9
13643,0,0,0.25,-3.1842e-07,8.5433e-07,-7.4242e-07,191.41,1.21,1,9
13029,0,0,0.25,1.3549e-07,9.8339e-07,1.2556e-07,193.31,1.21,1,9
15002,0,0,0.25,-1.0794e-07,-7.0435e-07,1.1839e-08,196.97,1.21,1,9
13321,0,0,0.25,2.6174e-07,-2.0207e-07,-5.9177e-08,195.94,1.21,1,9
14278,0,0,0.25,2.4209e-07,-6.9222e-07,-6.7947e-08,201.53,1.21,1,9
13472,0,0,0.25,-1.2538e-06,-1.048e-06,-1.5271e-07,204.73,1.21,1,9
13624,0,0,0.25,-2.1284e-07,-2.4711e-07,-6.6704e-08,204.76,1.21,1,9
13464,0,0,0.25,-1.0909e-06,3.3029e-07,-1.6626e-07,205.03,1.21,1,9
13445,0,0,0.25,2.2245e-08,2.5719e-06,6.0456e-07,197.01,1.21,1,9
13158,0,0,0.25,3.9001e-07,4.4196e-06,8.6987e-07,201.7,1.21,1,9
13017,0,0,0.25,1.9444e-06,8.1088e-06,6.3831e-07,194.58,1.21,1,9
13109,0,0,0.25,8.9305e-06,1.027e-05,-6.2418e-07,180.82,1.21,1,5
13640,0,0,0.25,-2.5869e-06,-8.6516e-06,1.2871e-05,185.21,1.21,1,9
14024,0,0,0.25,-1.4044e-06,-1.2556e-06,1.489e-07,178.2,1.21,1,5
13263,0,0,0.25,-1.5529e-06,3.3861e-07,-3.2718e-07,191.78,1.21,1,9
14800,0,0,0.25,2.7676e-07,4.4168e-06,-6.1105e-07,175.15,1.21,1,5
13508,0,0,0.25,1.7142e-06,1.7102e-06,-2.2447e-06,183.71,1.21,1,9
13724,0,0,0.25,-3.0076e-07,9.7318e-08,3.0314e-07,201.12,1.21,1,9
13425,0,0,0.25,-7.9914e-07,1.0797e-06,-8.249e-09,192.27,1.21,1,9
13648,0,0,0.25,-7.5593e-07,-3.1764e-06,5.0062e-07,197.05,1.21,1,9
13464,0,0,0.25,-1.648e-06,2.1621e-06,-9.2739e-08,202.88,1.21,1,9
13194,0,0,0.25,4.0366e-07,-3.188e-06,3.0233e-07,198.09,1.21,1,9
13610,0,0,0.25,-5.1195e-06,-5.0273e-06,-7.9381e-07,196.65,1.21,1,9
14349,0,0,0.25,-6.0089e-08,3.426e-07,-3.7681e-06,186.89,1.21,1,9
13949,0,0,0.25,8.9718e-06,-3.8979e-06,2.6326e-06,187.16,1.21,1,9
14114,0,0,0.25,-1.4031e-05,5.3279e-06,1.2294e-05,175.46,1.21,1,5
13750,0,0,0.25,-2.3732e-06,-1.3969e-05,1.4545e-05,174.76,1.21,1,5
13951,0,0,0.25,3.4963e-06,6.931e-06,2.0781e-06,186.23,1.21,1,9
13355,0,0,0.25,-6.4335e-06,-4.0935e-06,-2.212e-05,176.83,1.21,1,5
13692,0,0,0.25,1.2524e-05,3.0275e-05,-3.3992e-05,185.89,1.21,1,9
12445,0,0,0.25,-2.7151e-06,-2.0398e-06,-8.0341e-06,177.79,1.21,1,5
