"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
15891,0,0,0.05,0.00017569,7.7243e-06,8.0777e-05,39.346,1.21,1,5
15443,0,0,0.05,3.259e-05,1.6317e-05,0.0002925,37.596,1.21,1,5
13997,0,0,0.05,-0.00017843,0.00012318,0.0001418,42.688,1.21,1,9
14530,0,0,0.05,3.713e-05,-5.5069e-06,1.9039e-06,43.832,1.21,1,9
14892,0,0,0.05,-0.00038953,0.00047701,0.00038995,39.065,1.21,1,9
14430,0,0,0.05,3.0656e-05,-6.4387e-05,1.9594e-05,43.186,1.21,1,9
14602,0,0,0.05,0.00030515,0.00018502,-0.00014622,46.475,1.21,1,9
14577,0,0,0.05,0.00019301,-0.00012707,3.6985e-06,46.698,1.21,1,9
14665,0,0,0.05,-1.4197e-05,-2.3119e-05,0.00018558,43.915,1.21,1,9
15160,0,0,0.05,-8.5577e-05,-0.00018121,3.9978e-06,38.262,1.21,1,9
14057,0,0,0.05,8.8919e-05,-0.00028447,-0.00033386,38.654,1.21,1,5
14452,0,0,0.05,0.00015899,2.9535e-05,6.8465e-05,44.043,1.21,1,9
14786,0,0,0.05,3.7985e-05,-0.00011564,-4.2948e-05,46.931,1.21,1,9
14373,0,0,0.05,-0.00022126,-0.00013451,-0.00018617,46.919,1.21,1,9
14208,0,0,0.05,-0.00028154,4.3216e-06,1.8102e-05,44.494,1.21,1,9
15077,0,0,0.05,-0.00010847,7.7376e-05,0.00014826,39.511,1.21,1,9
14778,0,0,0.05,-0.00026453,-0.00012828,0.00017945,39.525,1.21,1,9
14684,0,0,0.05,0.00037623,0.00015074,5.2683e-05,44.054,1.21,1,9
14457,0,0,0.05,0.0001099,8.6652e-05,-0.00011494,44.536,1.21,1,9
14540,0,0,0.05,8.6282e-05,0.00021836,7.3581e-06,41.657,1.21,1,9
14575,0,0,0.05,4.9882e-05,0.0001201,-0.00030764,36.193,1.21,1,5
14601,0,0,0.05,-0.00032835,-0.00024107,5.922e-05,38.105,1.21,1,9
14839,0,0,0.05,3.7662e-05,0.00026833,8.3635e-06,39.069,1.21,1,9
14099,0,0,0.05,-0.00018307,-7.7596e-05,-0.00039117,36.069,1.21,1,5
14474,0,0,0.05,-0.00049919,-0.00035086,2.5199e-05,37.907,1.21,1,5
15066,0,0,0.05,-8.2356e-05,-9.4933e-05,-6.0758e-05,39.039,1.21,1,5
14356,0,0,0.05,0.00021489,0.00039508,8.5784e-06,39.671,1.21,1,9
14368,0,0,0.05,-0.00022539,3.5198e-05,0.00021578,40.665,1.21,1,9
15683,0,0,0.05,-0.00019609,-0.00014132,7.8056e-05,40.923,1.21,1,9
15097,0,0,0.05,-8.4687e-05,-0.00015447,-4.6949e-05,39.417,1.21,1,9
14805,0,0,0.05,0.00013544,2.7385e-05,-0.00014113,37.296,1.21,1,5
15305,0,0,0.05,-6.5287e-06,-0.00035487,-6.0717e-05,38.256,1.21,1,5
14769,0,0,0.05,-0.00015836,-3.6797e-05,4.6309e-05,40.106,1.21,1,9
15146,0,0,0.05,0.00010744,0.00013049,-7.4637e-05,40.405,1.21,1,9
14504,0,0,0.05,0.00024815,-0.00010219,-1.6642e-05,43.492,1.21,1,9
14187,0,0,0.05,0.00021152,0.00027719,2.6153e-05,43.824,1.21,1,9
14624,0,0,0.05,-5.2255e-05,0.00021944,-8.4403e-05,45.269,1.21,1,9
14106,0,0,0.05,-0.0001332,9.6148e-05,-3.7048e-05,45.922,1.21,1,9
14663,0,0,0.05,-4.4359e-05,0.00046989,-7.7652e-05,42.321,1.21,1,9
14407,0,0,0.05,6.77e-05,0.00023785,-0.00010666,45.706,1.21,1,9
14768,0,0,0.05,-0.00027543,0.00014436,-3.4336e-06,44.714,1.21,1,9
15500,0,0,0.05,-0.00013692,-2.811e-05,0.0002838,36.081,1.21,1,5
14506,0,0,0.05,-0.00015136,0.0003054,0.00019588,42.191,1.21,1,9
14855,0,0,0.05,3.5246e-05,-0.00014781,-7.929e-05,38.652,1.21,1,9
14744,0,0,0.05,7.1764e-05,-7.5507e-05,0.00020822,36.444,1.21,1,5
14428,0,0,0.05,-5.5059e-05,-0.00011213,-0.0002188,40.069,1.21,1,9
15229,0,0,0.05,8.0819e-05,9.9844e-07,0.00022853,38.974,1.21,1,5
14810,0,0,0.05,0.00013948,-0.00019369,-0.00026739,40.849,1.21,1,9
14454,0,0,0.05,-9.9007e-05,-0.00021524,-0.00010928,45.466,1.21,1,9
14568,0,0,0.05,0.00028451,8.0205e-05,0.00016757,44.259,1.21,1,9
14321,0,0,0.05,4.4713e-05,-0.00015705,-0.00010077,46.184,1.21,1,9
15087,0,0,0.05,-0.0001652,-1.4486e-05,5.2624e-05,47.088,1.21,1,9
