"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
14609,0,0,0.25,3.7173e-06,1.9959e-06,4.5575e-06,178.07,1.21,1,5
14665,0,0,0.25,6.3748e-06,3.7933e-06,4.3912e-06,178.14,1.21,1,5
13088,0,0,0.25,-2.0564e-06,-3.8558e-06,-1.4821e-06,191.12,1.21,1,9
13089,0,0,0.25,2.9466e-06,-4.0502e-06,-1.4598e-06,192,1.21,1,9
14176,0,0,0.25,-8.9215e-07,5.8232e-06,4.6496e-07,182.61,1.21,1,9
13276,0,0,0.25,1.7405e-06,-1.1836e-06,-1.3618e-06,192.26,1.21,1,9
13320,0,0,0.25,-3.6921e-07,-2.4532e-07,6.6203e-08,190.3,1.21,1,9
13027,0,0,0.25,1.1275e-09,9.2121e-07,-1.2352e-07,191.97,1.21,1,9
13431,0,0,0.25,1.7669e-09,-9.997e-07,1.9437e-07,195.27,1.21,1,9
14003,0,0,0.25,2.1304e-06,3.8999e-06,-2.8514e-07,181.86,1.21,1,9
12784,0,0,0.25,1.5113e-06,3.1134e-06,4.8745e-06,177.05,1.21,1,5
13432,0,0,0.25,-1.696e-06,-4.2323e-07,1.4322e-07,192.76,1.21,1,9
13317,0,0,0.25,-9.0499e-07,9.8688e-07,4.1403e-08,189.67,1.21,1,9
13359,0,0,0.25,-1.5471e-07,-9.829e-08,1.4885e-08,203.11,1.21,1,9
12992,0,0,0.25,2.67e-07,-3.39e-07,2.646e-07,202.14,1.21,1,9
13928,0,0,0.25,2.4075e-06,3.2485e-06,-2.7342e-06,187.91,1.21,1,9
13467,0,0,0.25,-6.5646e-08,-2.8555e-06,5.2297e-07,184.49,1.21,1,9
13445,0,0,0.25,-1.5132e-07,6.8548e-07,-1.328e-07,196.52,1.21,1,9
13332,0,0,0.25,7.6468e-07,7.181e-07,2.1758e-07,203.02,1.21,1,9
13482,0,0,0.25,2.8648e-06,-1.7659e-06,-3.7168e-06,197.69,1.21,1,9
14122,0,0,0.25,-3.5774e-06,-1.8074e-05,-5.7907e-06,177.83,1.21,1,5
13911,0,0,0.25,2.3029e-07,-3.3261e-07,8.2767e-07,182.09,1.21,1,9
13481,0,0,0.25,-4.4722e-06,-3.2647e-06,6.9636e-06,187.84,1.21,1,9
13718,0,0,0.25,-1.2438e-05,1.7608e-05,-8.1966e-06,177.53,1.21,1,5
13857,0,0,0.25,-6.2212e-07,-1.9021e-05,3.6165e-06,178.39,1.21,1,5
