,p,U.0,U.1,U.2,Ksl,Us.0,Us.1,Us.2,rho,voidfraction,Volume,Cell.Type,t,dp
,0,0,0,0,0,0,0,0,1.21,1,0.000019629,1,0,0
1,381.01,-0.0040938,0.0033055,2.1339,55.509,0.0013712,0.0018402,-0.01375,1.21,0.98864,0.000019629,1,0.05,461.0221
2,98.929,-0.0091618,-0.00016785,2.1441,156.7,0.00060755,0.0023015,-0.11654,1.21,0.97604,0.000019629,1,0.1,119.70409
3,159.64,-0.50133,0.041404,2.6693,5042.8,-0.12082,-0.005732,-0.20906,1.21,0.7147,0.000019629,1,0.15,193.1644
4,176.47,0.68652,0.45481,2.501,3355.7,-0.15154,0.05914,-0.12551,1.21,0.77198,0.000019629,1,0.2,213.5287
5,257.62,0.40254,-0.20249,2.7782,5589.8,0.041141,0.18625,0.073528,1.21,0.69596,0.000019629,1,0.25,311.7202
6,143.55,-0.17936,-0.39841,2.3053,1601.9,-0.05348,0.05016,0.019178,1.21,0.85257,0.000019629,1,0.3,173.6955
7,126.07,-0.29461,-0.50798,2.4238,2957.9,-0.068782,-0.037725,-0.022597,1.21,0.78865,0.000019629,1,0.35,152.5447
8,232.57,-0.7611,-0.88859,2.6199,5104.7,-0.17708,-0.19981,0.068637,1.21,0.70726,0.000019629,1,0.4,281.4097
9,163.49,-0.20882,0.076366,2.4251,2173.6,-0.21922,-0.15227,0.069313,1.21,0.83085,0.000019629,1,0.45,197.8229
10,134.07,0.24479,0.48829,2.3302,2027.4,-0.056029,0.034917,-0.026537,1.21,0.84201,0.000019629,1,0.5,162.2247
11,168.34,0.5458,0.85787,2.4975,3890.3,0.10168,0.19921,-0.0036359,1.21,0.74795,0.000019629,1,0.55,203.6914
12,197.69,0.17233,0.31433,2.5829,4577.6,0.20957,0.23134,0.086764,1.21,0.72143,0.000019629,1,0.6,239.2049
13,77.835,-0.0038836,-0.0013691,2.1891,486.54,0.00074019,0.0031599,-0.22949,1.21,0.94793,0.000019629,1,0.65,94.18035
14,158.09,-0.3018,-0.28883,2.3524,2051.3,0.075309,0.068051,0.032289,1.21,0.82937,0.000019629,1,0.7,191.2889
15,140.99,-0.38037,-0.53526,2.4879,3469.8,-0.054974,-0.067403,-0.010065,1.21,0.76615,0.000019629,1,0.75,170.5979
16,195.32,-0.39874,-0.31344,2.5237,4454.8,-0.14063,-0.15408,0.051941,1.21,0.72143,0.000019629,1,0.8,236.3372
17,155.76,0.064364,0.23863,2.461,2710.3,-0.12027,-0.099021,0.070309,1.21,0.79587,0.000019629,1,0.85,188.4696
18,155.35,0.4215,0.45951,2.3488,2308,0.017124,0.021011,-0.023375,1.21,0.81604,0.000019629,1,0.9,187.9735
19,189.59,0.5065,0.64294,2.6258,4775.2,0.14751,0.15104,0.046307,1.21,0.70904,0.000019629,1,0.95,229.4039
20,190.54,0.22948,0.22895,2.4793,2941.3,0.098414,0.15905,0.078696,1.21,0.78635,0.000019629,1,1,230.5534
21,121.72,0.047385,-0.18451,2.3841,2385.8,0.10749,0.045431,0.00030865,1.21,0.81134,0.000019629,1,1.05,147.2812
22,138,-0.43212,-0.52345,2.4956,3851.7,0.0062071,-0.091697,0.0095631,1.21,0.74627,0.000019629,1,1.1,166.98
23,179.13,-0.44209,-0.39416,2.5424,3733.8,-0.13816,-0.14998,0.052927,1.21,0.7558,0.000019629,1,1.15,216.7473
24,173.15,-0.0079652,-0.0075745,2.2179,830.65,-0.0057654,0.0011446,-0.31722,1.21,0.91997,0.000019629,1,1.2,209.5115
25,140.79,0.19105,0.26102,2.4396,2545.7,-0.14877,-0.16951,0.073164,1.21,0.79988,0.000019629,1,1.25,170.3559
26,123.16,0.27398,0.41083,2.4336,3705.8,-0.048401,0.0071269,-0.01209,1.21,0.75815,0.000019629,1,1.3,149.0236
27,229.65,1.1126,0.6626,2.6007,4487.8,0.20947,0.17197,0.09088,1.21,0.72808,0.000019629,1,1.35,277.8765
28,162.21,0.21928,0.097036,2.4121,1584.4,0.21858,0.1374,0.018513,1.21,0.86159,0.000019629,1,1.4,196.2741
29,126.15,-0.32038,-0.23999,2.3277,2316.1,0.032971,0.025809,-0.035243,1.21,0.83217,0.000019629,1,1.45,152.6415
30,158.87,-0.5993,-0.72052,2.5382,4504.2,-0.092163,-0.10835,-0.0037691,1.21,0.73082,0.000019629,1,1.5,192.2327
31,203.52,-0.38555,-0.22867,2.5542,4554.1,-0.15587,-0.2062,0.061368,1.21,0.7287,0.000019629,1,1.55,246.2592
32,148.71,0.16307,0.44316,2.3381,1952.6,-0.11893,-0.10491,0.034917,1.21,0.83583,0.000019629,1,1.6,179.9391
33,138.66,0.58813,0.81839,2.431,3477.9,0.034312,0.099425,-0.016703,1.21,0.77636,0.000019629,1,1.65,167.7786
34,223.45,0.68225,0.84043,2.4878,4252.1,0.21135,0.23394,0.03644,1.21,0.7331,0.000019629,1,1.7,270.3745
35,193.07,-0.020721,-0.0093825,2.2424,1267.2,-0.012284,-0.0026756,-0.31116,1.21,0.89474,0.000019629,1,1.75,233.6147
36,197.63,-0.097732,-0.062727,2.518,3265.4,0.10578,0.21906,0.12367,1.21,0.78643,0.000019629,1,1.8,239.1323
37,135.13,-0.32002,-0.63448,2.2774,1881.3,0.0019037,0.0029842,-0.026517,1.21,0.85231,0.000019629,1,1.85,163.5073
