,Ksl,U.0,U.1,U.2,Us.0,Us.1,Us.2,cellID,cellLevel,epsilon,k,nut,p,p_backup,rho,voidfraction,Volume,Cell.Type,t,dp
35,5912.2,-0.039812,0.10025,1.0573,-0.038892,0.046566,0.049477,3754.8,NA,NA,NA,NA,190.46,NA,1.21,0.61612,0.000019624,1,1.7,230.4566
36,3971.8,-0.028192,-0.42542,0.89423,0.04393,0.017181,-0.073331,3754.8,NA,NA,NA,NA,65.932,NA,1.21,0.70364,0.000019624,1,1.75,79.77772
37,5157.7,0.032273,-0.09426,0.96278,0.019484,0.037873,-0.053135,3754.8,NA,NA,NA,NA,73.276,NA,1.21,0.64461,0.000019624,1,1.8,88.66396
38,9999,0.12889,-0.19616,1.19,0.025067,-0.02982,0.0020719,3754.8,NA,NA,NA,NA,194.18,NA,1.21,0.49618,0.000019624,1,1.85,234.9578
39,3070,-0.27203,0.2333,0.90613,-0.0030741,-0.024542,0.0062175,3754.8,NA,NA,NA,NA,137.21,NA,1.21,0.72278,0.000019624,1,1.9,166.0241
40,5027.8,-0.36358,0.20537,0.93134,-0.023068,-0.0012356,-0.096259,3754.8,NA,NA,NA,NA,45.474,NA,1.21,0.68529,0.000019624,1,1.95,55.02354
41,9588.1,-0.36134,0.3825,1.2052,-0.12682,0.099017,0.027479,3754.8,NA,NA,NA,NA,194.8,NA,1.21,0.51265,0.000019624,1,2,235.708
42,4911.3,0.16642,0.1426,1.0032,-0.067993,0.10397,0.0027366,3754.8,NA,NA,NA,NA,158.02,NA,1.21,0.64934,0.000019624,1,2.05,191.2042
43,5369.6,0.38716,-0.18832,0.96239,0.015291,0.023246,-0.050335,3754.8,NA,NA,NA,NA,89.66,NA,1.21,0.65945,0.000019624,1,2.1,108.4886
44,8047.9,0.045229,-0.14338,1.1356,0.093306,-0.0946,0.020341,3754.8,NA,NA,NA,NA,214.71,NA,1.21,0.55466,0.000019624,1,2.15,259.7991
45,5871.6,-0.4718,0.29042,0.98322,0.0046696,-0.030556,-0.054971,3754.8,NA,NA,NA,NA,87.525,NA,1.21,0.63027,0.000019624,1,2.2,105.90525
46,8907.6,-0.24582,0.35527,1.1996,-0.1148,0.074948,0.062126,3754.8,NA,NA,NA,NA,202.64,NA,1.21,0.52376,0.000019624,1,2.25,245.1944
47,9433.7,-0.26279,-0.34598,1.1853,-0.043217,-0.067041,-0.01224,3754.8,NA,NA,NA,NA,168.14,NA,1.21,0.52087,0.000019624,1,2.3,203.4494
48,2566.7,0.19316,0.085345,0.891,-0.073939,0.089719,-0.06399,3754.8,NA,NA,NA,NA,141.88,NA,1.21,0.76366,0.000019624,1,2.35,171.6748
49,6408.6,0.23892,0.095723,0.97626,0.0019816,0.034637,-0.087217,3754.8,NA,NA,NA,NA,67.677,NA,1.21,0.62314,0.000019624,1,2.4,81.88917
50,7662.1,0.45679,-0.33121,1.1028,0.10184,-0.081874,0.052852,3754.8,NA,NA,NA,NA,180.23,NA,1.21,0.56399,0.000019624,1,2.45,218.0783
51,7681.3,0.23268,-0.29089,1.0792,0.142,-0.13002,-0.030454,3754.8,NA,NA,NA,NA,138.73,NA,1.21,0.56433,0.000019624,1,2.5,167.8633
52,5766.5,-0.49461,0.28374,1.0247,0.02176,-0.037756,0.025844,3754.8,NA,NA,NA,NA,131.18,NA,1.21,0.63344,0.000019624,1,2.55,158.7278
53,6495.3,-0.48797,0.25063,0.99834,-0.12259,0.080149,-0.031539,3754.8,NA,NA,NA,NA,164.21,NA,1.21,0.61594,0.000019624,1,2.6,198.6941
54,6500.8,0.32193,-0.32241,0.99718,-0.041707,0.0086731,-0.037417,3754.8,NA,NA,NA,NA,123.79,NA,1.21,0.62028,0.000019624,1,2.65,149.7859
55,7562.9,0.10372,-0.14933,1.1341,0.05878,-0.088249,0.042799,3754.8,NA,NA,NA,NA,204.03,NA,1.21,0.57062,0.000019624,1,2.7,246.8763
56,3852.4,-0.24067,0.24169,0.90251,0.029836,-0.047973,-0.073169,3754.8,NA,NA,NA,NA,90.876,NA,1.21,0.71651,0.000019624,1,2.75,109.95996
57,8686.2,-0.31288,0.25523,1.1454,-0.041447,0.030155,-0.036095,3754.8,NA,NA,NA,NA,127.62,NA,1.21,0.55305,0.000019624,1,2.8,154.4202
58,4549.2,-0.14665,0.24134,0.95199,-0.073138,-0.1028,-0.0020208,3754.8,NA,NA,NA,NA,145.31,NA,1.21,0.66357,0.000019624,1,2.85,175.8251
59,4296.5,-0.1724,0.17693,1.0007,-0.12066,0.088003,0.044949,3754.8,NA,NA,NA,NA,188.88,NA,1.21,0.67005,0.000019624,1,2.9,228.5448
60,5275.4,-0.17095,-0.061134,0.95597,-0.070489,0.058906,-0.089077,3754.8,NA,NA,NA,NA,64.902,NA,1.21,0.64697,0.000019624,1,2.95,78.53142
61,8368.7,0.2741,-0.32788,1.127,0.016316,-0.050885,0.06553,3754.8,NA,NA,NA,NA,161.85,NA,1.21,0.54467,0.000019624,1,3,195.8385
62,5134.8,0.13747,-0.34734,0.95075,0.07293,-0.10419,-0.059035,3754.8,NA,NA,NA,NA,142.32,NA,1.21,0.65216,0.000019624,1,3.05,172.2072
63,8508.1,-0.076048,0.1354,1.1501,0.06745,-0.11693,0.055388,3754.8,NA,NA,NA,NA,156.31,NA,1.21,0.53662,0.000019624,1,3.1,189.1351
64,5187.3,-0.4662,0.57408,0.93614,-0.043904,0.072704,-0.028119,3754.8,NA,NA,NA,NA,138.51,NA,1.21,0.6626,0.000019624,1,3.15,167.5971
65,6468,-0.1868,-0.26933,1.0345,-0.086784,0.10742,-0.026891,3754.8,NA,NA,NA,NA,180.34,NA,1.21,0.61661,0.000019624,1,3.2,218.2114
66,7199.4,-0.041372,-0.47058,1.1022,-0.025084,-0.083482,-0.013776,3754.8,NA,NA,NA,NA,150.25,NA,1.21,0.579,0.000019624,1,3.25,181.8025
67,5362.1,-0.10384,0.13134,0.99601,-0.01286,-0.091589,-0.025267,3754.8,NA,NA,NA,NA,148.93,NA,1.21,0.6444,0.000019624,1,3.3,180.2053
68,7303.1,0.044107,0.41138,1.0753,-0.0043078,0.020868,-0.040895,3754.8,NA,NA,NA,NA,134.7,NA,1.21,0.5798,0.000019624,1,3.35,162.987
69,8861.4,0.0064346,0.17088,1.1536,-0.046505,-0.0075696,-0.041398,3754.8,NA,NA,NA,NA,119.43,NA,1.21,0.52509,0.000019624,1,3.4,144.5103
