,p,U.0,U.1,U.2,Ksl,Us.0,Us.1,Us.2,rho,voidfraction,Volume,Cell.Type,t,dp
1,303.73,0.0041612,0.0069773,1.5955,154.03,0.0025176,0.0018565,-0.0018497,1.21,0.97063,0.000019629,1,0.05,367.5133
2,76.247,-0.0019223,0.001352,1.5919,426.96,0.0010835,0.00039341,-0.09465,1.21,0.94895,0.000019629,1,0.1,92.25887
3,101.73,0.93362,0.68672,1.7546,4051.8,-0.016642,-0.063163,-0.14065,1.21,0.73757,0.000019629,1,0.15,123.0933
4,581.16,-0.13233,-0.18149,1.9599,3661.6,0.19463,0.18868,0.13176,1.21,0.79578,0.000019629,1,0.2,703.2036
5,67.576,-0.48933,-0.43591,1.6745,1654.2,-0.039222,-0.020658,-0.066474,1.21,0.86414,0.000019629,1,0.25,81.76696
6,82.549,-0.50975,-0.4746,1.9018,3818.1,-0.18168,-0.16117,-0.074254,1.21,0.75618,0.000019629,1,0.3,99.88429
7,109.84,-0.1478,-0.27884,1.9805,5613.1,-0.2122,-0.21729,0.011609,1.21,0.67177,0.000019629,1,0.35,132.9064
8,224.37,0.12694,0.10987,2.1349,6596.2,-0.11804,-0.15113,0.0040222,1.21,0.64175,0.000019629,1,0.4,271.4877
9,153.23,-0.1201,0.026093,1.9286,4203.9,-0.21241,-0.14978,0.023771,1.21,0.71697,0.000019629,1,0.45,185.4083
10,124.87,0.32527,0.35315,1.8294,3796.7,-0.098029,-0.0249,-0.029908,1.21,0.74713,0.000019629,1,0.5,151.0927
11,198.51,0.43458,0.32778,1.9616,4551.3,0.062659,0.10161,0.0057228,1.21,0.70692,0.000019629,1,0.55,240.1971
12,174.52,-0.68996,-0.69076,1.8686,3538.8,-0.065049,-0.033943,0.013134,1.21,0.74952,0.000019629,1,0.6,211.1692
13,47.366,-0.029931,-0.010891,1.6488,1058.9,0.0029098,0.000057873,-0.277,1.21,0.90111,0.000019629,1,0.65,57.31286
14,148.69,-0.32907,-0.40985,1.9289,4578.4,-0.11395,-0.086311,-0.012672,1.21,0.70709,0.000019629,1,0.7,179.9149
15,267.13,-0.38895,-0.058938,2.0285,5261.4,-0.076833,-0.10197,0.035729,1.21,0.67537,0.000019629,1,0.75,323.2273
16,172.94,0.059069,-0.1023,1.8363,2588.2,-0.09097,-0.080782,0.012177,1.21,0.78002,0.000019629,1,0.8,209.2574
17,123.14,0.18304,0.40518,1.8436,3251.9,0.010877,-0.02021,-0.058342,1.21,0.76343,0.000019629,1,0.85,148.9994
18,213.29,-0.084933,0.78491,2.0448,5438,0.053592,0.15846,0.050367,1.21,0.67477,0.000019629,1,0.9,258.0809
19,169.46,-0.1032,-0.30028,1.8541,4128.4,-0.026377,0.058584,-0.01709,1.21,0.71511,0.000019629,1,0.95,205.0466
20,176.28,-0.082022,-0.043923,1.9534,4675.1,-0.00087782,-0.052321,0.048944,1.21,0.69835,0.000019629,1,1,213.2988
21,159.12,-0.27276,0.23476,1.8121,3159.6,-0.07,-0.01015,-0.033772,1.21,0.75257,0.000019629,1,1.05,192.5352
22,172.79,-0.064137,0.030755,2.1108,6398.3,-0.061675,-0.045932,0.048061,1.21,0.63505,0.000019629,1,1.1,209.0759
23,213.76,0.081126,0.66964,1.8946,3616.7,-0.02211,0.074809,0.013513,1.21,0.74096,0.000019629,1,1.15,258.6496
24,47.507,-0.019771,-0.01064,1.6773,1801.2,-0.0022322,0.00090119,-0.28142,1.21,0.86763,0.000019629,1,1.2,57.48347
25,173.6,0.15602,0.60185,2.0168,4832.1,0.057684,0.24493,0.040774,1.21,0.68889,0.000019629,1,1.25,210.056
26,127.29,0.12578,-0.83722,1.787,3009.4,0.011578,0.037224,-0.020847,1.21,0.76966,0.000019629,1,1.3,154.0209
27,222.75,0.1273,-0.91687,2.0545,5740.2,0.042514,-0.1678,0.015767,1.21,0.66186,0.000019629,1,1.35,269.5275
