,Ksl,U.0,U.1,U.2,Us.0,Us.1,Us.2,cellID,cellLevel,epsilon,k,nut,p,p_backup,rho,voidfraction,Volume,Cell.Type,t,dp
1,0,0,0,0,0,0,0,3754.8,0.95527,0.003,0.001,0,0,0,1.21,1,0.000019624,1,0,0
2,2868.4,-0.0059539,0.0056788,0.55316,0.0066076,0.0026142,-0.020846,3754.8,NA,NA,NA,NA,100.67,NA,1.21,0.74434,0.000019624,1,0.05,121.8107
3,8662,0.035683,0.018181,0.75289,-0.0084337,-0.0012552,0.03962,3754.8,NA,NA,NA,NA,158.99,NA,1.21,0.50666,0.000019624,1,0.1,192.3779
4,6107.7,0.046839,0.10279,0.66853,0.013688,-0.0029256,0.00078084,3754.8,NA,NA,NA,NA,127.09,NA,1.21,0.57858,0.000019624,1,0.15,153.7789
5,8887.7,-0.03687,0.11697,0.72533,0.0054525,0.0061841,-0.044523,3754.8,NA,NA,NA,NA,95.887,NA,1.21,0.52185,0.000019624,1,0.2,116.02327
6,10391,0.031131,0.051469,0.79741,-0.010804,0.0048557,0.028589,3754.8,NA,NA,NA,NA,182.25,NA,1.21,0.46474,0.000019624,1,0.25,220.5225
7,5890.4,0.03369,-0.019877,0.64942,0.0048994,0.015374,-0.037382,3754.8,NA,NA,NA,NA,115.41,NA,1.21,0.58649,0.000019624,1,0.3,139.6461
8,11119,-0.034378,-0.048288,0.76907,-0.0041358,-0.0028752,-0.013613,3754.8,NA,NA,NA,NA,126.92,NA,1.21,0.46224,0.000019624,1,0.35,153.5732
9,8452.8,0.079426,0.00173,0.74185,0.0050731,-0.0097074,0.042016,3754.8,NA,NA,NA,NA,156.44,NA,1.21,0.51621,0.000019624,1,0.4,189.2924
10,6309.4,0.056237,0.027497,0.65343,0.010857,-0.0019716,-0.055255,3754.8,NA,NA,NA,NA,101.92,NA,1.21,0.59362,0.000019624,1,0.45,123.3232
11,11645,-0.037709,-0.072405,0.79622,-0.0092237,-0.013875,0.0024552,3754.8,NA,NA,NA,NA,140.55,NA,1.21,0.44269,0.000019624,1,0.5,170.0655
12,7607.6,0.025423,0.082807,0.71688,0.0012293,0.0055455,0.027087,3754.8,NA,NA,NA,NA,143.38,NA,1.21,0.53607,0.000019624,1,0.55,173.4898
13,7379.4,-0.047208,0.07083,0.69132,0.004432,0.0076894,-0.046858,3754.8,NA,NA,NA,NA,97.944,NA,1.21,0.55993,0.000019624,1,0.6,118.51224
14,6491,0.047075,-0.045056,0.65739,0.0014417,0.0022276,-0.048,3754.8,NA,NA,NA,NA,105.24,NA,1.21,0.58188,0.000019624,1,0.65,127.3404
15,11647,-0.0075109,0.051028,0.82024,-0.018819,0.00047568,0.013256,3754.8,NA,NA,NA,NA,176.1,NA,1.21,0.43759,0.000019624,1,0.7,213.081
16,5809.8,0.061181,-0.034765,0.65871,0.009266,0.0010695,-0.0026067,3754.8,NA,NA,NA,NA,123.82,NA,1.21,0.59007,0.000019624,1,0.75,149.8222
17,8610.1,-0.027252,-0.11996,0.71526,0.0016479,-0.0007647,-0.047831,3754.8,NA,NA,NA,NA,89.645,NA,1.21,0.53331,0.000019624,1,0.8,108.47045
18,10831,0.00234,0.000048439,0.80593,-0.01599,-0.024448,0.022119,3754.8,NA,NA,NA,NA,178.03,NA,1.21,0.45408,0.000019624,1,0.85,215.4163
19,5709.1,0.049403,0.089157,0.65197,0.010493,0.0046104,-0.022641,3754.8,NA,NA,NA,NA,119.36,NA,1.21,0.59143,0.000019624,1,0.9,144.4256
20,10316,-0.0058961,0.041618,0.74304,0.0026872,0.0045303,-0.03661,3754.8,NA,NA,NA,NA,109.51,NA,1.21,0.48671,0.000019624,1,0.95,132.5071
21,9731.8,0.040233,0.04045,0.78056,-0.0023684,-0.000020893,0.030457,3754.8,NA,NA,NA,NA,174.04,NA,1.21,0.48037,0.000019624,1,1,210.5884
22,6307.9,-0.018363,0.0058375,0.65237,0.0061334,0.011019,-0.037718,3754.8,NA,NA,NA,NA,113.3,NA,1.21,0.58002,0.000019624,1,1.05,137.093
23,11483,-0.09812,-0.0032277,0.78888,-0.015335,-0.0026147,-0.00097435,3754.8,NA,NA,NA,NA,134.34,NA,1.21,0.45077,0.000019624,1,1.1,162.5514
24,7664.7,0.080307,0.00026464,0.71713,0.0011845,-0.0039087,0.034523,3754.8,NA,NA,NA,NA,145.79,NA,1.21,0.53737,0.000019624,1,1.15,176.4059
25,11756,-0.015144,-0.07134,0.80232,-0.010329,-0.016851,0.0071253,3754.8,NA,NA,NA,NA,150.26,NA,1.21,0.43717,0.000019624,1,1.2,181.8146
26,6943,0.078914,-0.050807,0.67783,0.0058543,-0.0005647,-0.052598,3754.8,NA,NA,NA,NA,98.336,NA,1.21,0.5813,0.000019624,1,1.25,118.98656
27,11927,-0.00054772,-0.11125,0.80857,-0.0058199,-0.025767,0.011173,3754.8,NA,NA,NA,NA,156.75,NA,1.21,0.43603,0.000019624,1,1.3,189.6675
28,6763.9,0.01983,0.09854,0.68771,0.0088203,0.0033344,0.017762,3754.8,NA,NA,NA,NA,133.89,NA,1.21,0.561,0.000019624,1,1.35,162.0069
29,7904.4,-0.082925,0.12683,0.70481,0.0043194,0.0065406,-0.045031,3754.8,NA,NA,NA,NA,90.705,NA,1.21,0.55291,0.000019624,1,1.4,109.75305
30,11482,0.01076,0.054956,0.82383,-0.014569,0.00581,0.020176,3754.8,NA,NA,NA,NA,185.77,NA,1.21,0.44164,0.000019624,1,1.45,224.7817
31,5509.6,0.043315,-0.044715,0.647,0.0041398,0.0065273,-0.019429,3754.8,NA,NA,NA,NA,118.3,NA,1.21,0.59853,0.000019624,1,1.5,143.143
32,9430.2,-0.02977,-0.10073,0.73058,-0.0013138,-0.00014452,-0.040773,3754.8,NA,NA,NA,NA,99.581,NA,1.21,0.50864,0.000019624,1,1.55,120.49301
33,10378,0.046811,0.019066,0.79837,-0.007278,-0.020244,0.026944,3754.8,NA,NA,NA,NA,183.42,NA,1.21,0.46653,0.000019624,1,1.6,221.9382
34,5787,0.041268,0.094342,0.64223,0.01317,0.0018543,-0.036495,3754.8,NA,NA,NA,NA,112.38,NA,1.21,0.59388,0.000019624,1,1.65,135.9798
