,Ksl,U.0,U.1,U.2,Us.0,Us.1,Us.2,cellID,cellLevel,epsilon,k,nut,p,p_backup,rho,voidfraction,Volume,Cell.Type,t,dp
1,0,0,0,0,0,0,0,3754.8,0.95527,0.003,0.001,0,0,0,1.21,1,0.000019624,1,0,0
2,603.26,0.022036,-0.0077676,1.0535,0.010459,0.0049901,-0.021831,3754.8,NA,NA,NA,NA,127,NA,1.21,0.89959,0.000019624,1,0.05,153.67
3,5103.3,-0.43617,-0.44268,1.2868,-0.088646,-0.13009,-0.048266,3754.8,NA,NA,NA,NA,76.842,NA,1.21,0.67397,0.000019624,1,0.1,92.97882
4,5861,-0.37162,0.18667,1.4456,-0.07363,0.069997,0.01084,3754.8,NA,NA,NA,NA,146,NA,1.21,0.645,0.000019624,1,0.15,176.66
5,5191.6,-0.32752,-0.37896,1.2608,-0.087097,0.013478,-0.067412,3754.8,NA,NA,NA,NA,148.12,NA,1.21,0.6578,0.000019624,1,0.2,179.2252
6,5082.1,0.16416,-0.14888,1.3946,-0.13348,-0.027108,0.11545,3754.8,NA,NA,NA,NA,218.85,NA,1.21,0.67416,0.000019624,1,0.25,264.8085
7,2538.7,0.61162,-0.050559,1.1027,0.0035548,-0.041425,-0.084684,3754.8,NA,NA,NA,NA,108.89,NA,1.21,0.8205,0.000019624,1,0.3,131.7569
8,5534.6,0.87068,-0.083961,1.2862,0.24323,-0.051419,-0.068409,3754.8,NA,NA,NA,NA,102.31,NA,1.21,0.672,0.000019624,1,0.35,123.7951
9,6961.1,-0.15872,0.16716,1.4353,0.14814,-0.020478,0.0073795,3754.8,NA,NA,NA,NA,170.51,NA,1.21,0.60281,0.000019624,1,0.4,206.3171
10,6184.1,-0.26846,0.2692,1.4017,-0.024915,0.10659,0.047732,3754.8,NA,NA,NA,NA,186.71,NA,1.21,0.61696,0.000019624,1,0.45,225.9191
11,4794.8,-0.01051,-0.075815,1.2596,-0.05018,0.047983,-0.050308,3754.8,NA,NA,NA,NA,93.849,NA,1.21,0.68261,0.000019624,1,0.5,113.55729
12,8184.6,0.35244,-0.16502,1.5627,0.018598,-0.035772,0.066955,3754.8,NA,NA,NA,NA,228.9,NA,1.21,0.56542,0.000019624,1,0.55,276.969
13,1780.5,0.38038,0.28617,1.1559,0.09451,-0.034063,-0.047845,3754.8,NA,NA,NA,NA,161.86,NA,1.21,0.81382,0.000019624,1,0.6,195.8506
14,8641.6,-0.34204,-0.17109,1.5676,-0.19462,-0.17748,0.053525,3754.8,NA,NA,NA,NA,197.71,NA,1.21,0.55009,0.000019624,1,0.65,239.2291
15,5572.8,0.31832,0.0013072,1.3102,0.10929,-0.025848,-0.1041,3754.8,NA,NA,NA,NA,74.839,NA,1.21,0.68148,0.000019624,1,0.7,90.55519
16,6571,-0.1967,0.29882,1.3786,0.082961,0.0035989,0.012738,3754.8,NA,NA,NA,NA,130.41,NA,1.21,0.62117,0.000019624,1,0.75,157.7961
17,5729.4,-0.44753,0.48888,1.4013,-0.16458,0.21337,0.051813,3754.8,NA,NA,NA,NA,235.25,NA,1.21,0.64563,0.000019624,1,0.8,284.6525
18,5764.1,0.0071031,-0.088486,1.3149,-0.065368,0.07369,-0.040034,3754.8,NA,NA,NA,NA,87.804,NA,1.21,0.64648,0.000019624,1,0.85,106.24284
19,5331.8,0.39673,-0.27002,1.3531,0.037737,-0.029549,0.0080502,3754.8,NA,NA,NA,NA,154.99,NA,1.21,0.65062,0.000019624,1,0.9,187.5379
20,5183.3,0.13819,-0.17059,1.3601,0.064037,-0.060663,-0.046853,3754.8,NA,NA,NA,NA,156.21,NA,1.21,0.65282,0.000019624,1,0.95,189.0141
21,6141.9,-0.1992,0.36175,1.4117,0.071061,-0.06714,0.081552,3754.8,NA,NA,NA,NA,194.34,NA,1.21,0.63242,0.000019624,1,1,235.1514
22,2726.1,-0.18156,0.60642,1.1861,-0.032224,0.079978,-0.051558,3754.8,NA,NA,NA,NA,135.36,NA,1.21,0.77813,0.000019624,1,1.05,163.7856
