,p,U.0,U.1,U.2,Ksl,Us.0,Us.1,Us.2,rho,voidfraction,Volume,Cell.Type,t,dp
45,246.03,-0.13182,-0.58421,1.8231,6684.3,-0.066487,-0.084068,0.03471,1.21,0.6228,0.000019629,1,2.25,297.6963
46,53.36,-0.08753,-0.020621,1.6457,4081.1,-0.025902,-0.0040481,-0.13587,1.21,0.73893,0.000019629,1,2.3,64.5656
47,210.35,0.11769,0.059494,1.483,2102.2,-0.06434,-0.10584,-0.035441,1.21,0.81302,0.000019629,1,2.35,254.5235
48,81.454,0.39481,0.33161,1.4954,3326.7,0.041023,-0.038333,-0.10743,1.21,0.77242,0.000019629,1,2.4,98.55934
49,160.71,0.56565,0.56486,1.7534,6715.4,0.11534,0.12636,0.0042942,1.21,0.63151,0.000019629,1,2.45,194.4591
50,222.49,-0.22276,0.44785,1.7184,5514.4,0.076648,0.16403,0.025756,1.21,0.66463,0.000019629,1,2.5,269.2129
51,148.7,-0.15409,0.023389,1.6965,5454.4,-0.096936,0.23964,0.062136,1.21,0.65466,0.000019629,1,2.55,179.927
52,162.54,0.0020393,-0.59982,1.4789,2990.1,-0.038188,-0.0087184,-0.020318,1.21,0.78426,0.000019629,1,2.6,196.6734
53,169.1,-0.26299,-0.67649,1.6427,4923.8,-0.066505,-0.26775,-0.031807,1.21,0.68386,0.000019629,1,2.65,204.611
54,158.56,0.50814,0.046041,1.5868,3425,0.10416,0.026545,0.029736,1.21,0.73742,0.000019629,1,2.7,191.8576
55,107.07,-0.25606,-0.085202,1.5281,3920,0.046239,0.028255,-0.076035,1.21,0.73358,0.000019629,1,2.75,129.5547
56,229.27,-0.24761,-0.54185,1.81,7652.6,-0.068058,-0.02343,0.039394,1.21,0.59643,0.000019629,1,2.8,277.4167
57,74.389,-0.20569,-0.099427,1.7247,5386.4,-0.076165,-0.019028,-0.10397,1.21,0.67079,0.000019629,1,2.85,90.01069
58,188.45,0.45321,-0.27587,1.5052,1863.7,0.042302,-0.16821,0.0080707,1.21,0.81629,0.000019629,1,2.9,228.0245
59,79.945,0.21327,-0.086938,1.4849,2911.4,0.024645,-0.091612,-0.095313,1.21,0.78611,0.000019629,1,2.95,96.73345
60,182.41,0.4656,0.30077,1.8312,7386.5,0.06074,0.063027,0.022527,1.21,0.6074,0.000019629,1,3,220.7161
61,179.02,0.66032,0.35132,1.5944,5139.9,0.20431,0.081149,-0.014358,1.21,0.68783,0.000019629,1,3.05,216.6142
62,149.46,-0.14489,-0.10492,1.6485,5461.6,0.14814,0.14733,0.041651,1.21,0.66908,0.000019629,1,3.1,180.8466
63,146.01,-0.44439,-0.4085,1.5673,3674.6,-0.067741,-0.050313,-0.0082193,1.21,0.73237,0.000019629,1,3.15,176.6721
64,219.91,-0.064286,-0.30739,1.8107,6833.2,-0.098949,-0.10268,-0.0096807,1.21,0.61336,0.000019629,1,3.2,266.0911
65,197.09,0.20935,0.16754,1.5404,2611.9,-0.0048734,-0.043929,0.035816,1.21,0.77178,0.000019629,1,3.25,238.4789
66,82.068,-0.052752,0.091613,1.5519,3204.4,-0.0086058,-0.0059108,-0.083706,1.21,0.7662,0.000019629,1,3.3,99.30228
67,146.1,0.031688,0.4591,1.7248,6880,0.01093,0.14314,0.0042197,1.21,0.61346,0.000019629,1,3.35,176.781
68,166.65,0.024084,-0.0049321,1.839,7673.5,-0.36809,-0.27287,0.020571,1.21,0.60496,0.000019629,1,3.4,201.6465
69,275.69,-0.064331,-0.39005,1.7246,4625.2,0.0026784,-0.03121,0.087689,1.21,0.69941,0.000019629,1,3.45,333.5849
70,95.688,-0.22843,-0.113,1.505,2608.7,-0.0080707,-0.062975,-0.075061,1.21,0.77312,0.000019629,1,3.5,115.78248
71,124.26,-0.25447,0.17518,1.7887,6491.2,-0.056828,-0.0074739,-0.0011252,1.21,0.62653,0.000019629,1,3.55,150.3546
72,179.5,-0.054033,0.099794,1.5765,4842.1,-0.067229,0.055888,-0.0042306,1.21,0.68941,0.000019629,1,3.6,217.195
73,199.33,0.15496,0.062571,1.7726,6437.9,-0.059629,0.044332,0.085229,1.21,0.62534,0.000019629,1,3.65,241.1893
74,128.51,0.16781,-0.16825,1.4875,2753.1,0.03539,-0.0032198,-0.041292,1.21,0.76261,0.000019629,1,3.7,155.4971
75,145.74,0.10645,0.11855,1.8422,6990.8,0.061449,-0.01974,0.0066564,1.21,0.61138,0.000019629,1,3.75,176.3454
76,174.54,-0.28976,-0.1582,1.5417,4011.1,0.019616,0.011487,-0.0083841,1.21,0.72213,0.000019629,1,3.8,211.1934
77,127.29,-0.40644,-0.10963,1.723,5528.7,-0.022128,-0.069264,0.007574,1.21,0.65432,0.000019629,1,3.85,154.0209
78,162.48,-0.47956,0.21565,1.6358,4878,-0.13044,-0.004396,0.00094743,1.21,0.67507,0.000019629,1,3.9,196.6008
79,103.5,0.38238,0.39245,1.5227,5250.9,-0.12468,-0.11927,-0.11133,1.21,0.70393,0.000019629,1,3.95,125.235
80,195.28,0.093127,0.09022,1.7249,5791.3,-0.11902,0.0017914,0.044094,1.21,0.63919,0.000019629,1,4,236.2888
81,136.01,0.28733,0.20133,1.5778,4278.4,0.027812,0.037793,-0.01785,1.21,0.69498,0.000019629,1,4.05,164.5721
82,196.96,-0.1841,0.17177,1.8048,6901.1,0.033297,0.091215,0.060753,1.21,0.60736,0.000019629,1,4.1,238.3216
83,197.35,-0.2468,-0.33202,1.5261,2798.2,-0.039164,0.029124,-0.0024161,1.21,0.77032,0.000019629,1,4.15,238.7935
84,104.71,-0.044014,-0.34313,1.6363,4591.6,-0.02824,-0.050032,-0.074435,1.21,0.70017,0.000019629,1,4.2,126.6991
85,183.86,-0.17301,-0.3292,1.7215,6850.2,-0.034502,-0.091897,0.031988,1.21,0.61348,0.000019629,1,4.25,222.4706
86,203.86,0.43896,-0.068674,1.6603,4689,-0.046082,-0.1153,0.050689,1.21,0.69784,0.000019629,1,4.3,246.6706
87,113.5,0.80904,0.31354,1.5098,3338.8,0.16275,0.014436,-0.025171,1.21,0.74673,0.000019629,1,4.35,137.335
88,146.72,-0.17685,0.093046,1.7,5856.9,0.099709,0.063236,-0.033002,1.21,0.64819,0.000019629,1,4.4,177.5312
89,296.09,-0.4106,-0.26113,1.6751,4196.3,-0.083561,0.025202,0.068313,1.21,0.72368,0.000019629,1,4.45,358.2689
90,371.83,0.063621,0.04897,1.695,4852.1,0.14414,0.1776,0.08995,1.21,0.71948,0.000019629,1,4.5,449.9143
91,76.865,0.38782,-0.011558,1.48,2354.9,0.00067044,-0.017797,-0.091848,1.21,0.79803,0.000019629,1,4.55,93.00665
92,108.96,0.48616,0.051632,1.7075,5690.8,0.084556,0.010413,-0.047429,1.21,0.66372,0.000019629,1,4.6,131.8416
93,204.31,0.56238,-0.24562,1.6398,6015.9,0.17676,-0.050644,-0.0034688,1.21,0.65379,0.000019629,1,4.65,247.2151
94,208.09,-0.094785,0.34634,1.6504,4256.3,0.245,-0.012119,0.063274,1.21,0.72061,0.000019629,1,4.7,251.7889
95,106.93,-0.67437,0.044466,1.4681,2542.8,-0.0058014,0.044425,-0.052114,1.21,0.79867,0.000019629,1,4.75,129.3853
96,150.64,-0.7283,-0.15276,1.6731,6122.7,-0.19951,0.020382,-0.056631,1.21,0.64195,0.000019629,1,4.8,182.2744
97,316.05,0.28981,-0.1045,1.6602,3513,-0.091718,-0.068174,0.078103,1.21,0.74352,0.000019629,1,4.85,382.4205
98,77.488,-0.083193,0.19864,1.4454,1962.3,-0.060429,-0.01633,-0.096291,1.21,0.81501,0.000019629,1,4.9,93.76048
99,101.45,0.11215,0.2966,1.7197,5738,0.0056515,0.022684,-0.064009,1.21,0.66657,0.000019629,1,4.95,122.7545
100,224.89,0.24093,0.45786,1.7189,6211.6,0.031379,0.1379,0.017467,1.21,0.6459,0.000019629,1,5,272.1169
